instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.18576159999975,None,space,1.6157471999995323,11.18576159999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,12.860805000000255,None,c,0.99407280000014,12.860805000000255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,13.881682299999738,None,b,0.876600800000233,13.881682299999738,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,14.782275499999741,None,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,50,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,47.22098293662315,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,42.7442301780138,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,39.01363976971419,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,35.86451178977734,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,33.190950279549796,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,30.92081878945191,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,28.996970823701933,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,9,8,start,4,lin,27.37490247239922,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,10,9,start,4,lin,26.011418693234635,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,11,10,start,4,lin,24.87540109233303,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,12,11,start,4,lin,23.93569860405411,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,13,12,start,4,lin,23.161397260343886,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,14,13,start,4,lin,22.525232663360683,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,15,14,start,4,lin,22.008338199006303,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,16,15,start,4,lin,21.587652291768546,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,17,16,start,4,lin,21.247402355872886,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,18,17,start,4,lin,20.973624561359035,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,19,18,start,4,lin,20.754067888110086,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,20,19,start,4,lin,20.58058925594534,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1427,toneDetectionPlatform_V1.6,2020.2.4,59.95146329585261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,21,20,start,4,lin,20.444871773333745,,,,,,,,,,,
