interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,14.237715345108882,None,space,0.20668478403240442,14.237715345108882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1441,BETA_001,3.1.2,60.31026837669977,
,,,,,,,,,,,,,14.755880723008886,None,space,0.251011362997815,14.755880723008886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1441,BETA_001,3.1.2,60.31026837669977,
1,1,0,0,0,0,0,,,,,,,,,,,,,16.13779115700163,16.353985093999654,15.088116685161367,16.071054829051718,16.38747516204603,17.1711046861019,17.23742415313609,17.437190554104745,16.087601615116,16.40399941103533,17.187457946129143,None,16.087601615116,16.370541509008035,17.187457946129143,None,17.73771475814283,None,1,3.1531173400580883,17.73771475814283,None,20.9212467931211,None,22.205175480106845,None,space,1.8580268169753253,22.205175480106845,None,,001,2020_Apr_13_1441,BETA_001,3.1.2,60.31026837669977,
2,0,1,0,1,1,3,,,,,,,,,,,,,25.154391694115475,25.354038892081007,24.08759126905352,25.087692701024935,25.403945074183866,26.187740703113377,26.254323824075982,26.454585755011067,25.104525194037706,25.42038463917561,26.204345184145495,26.48855588817969,25.104525194037706,25.387310831109062,26.204345184145495,26.48855588817969,26.787984050111845,None,2,2.427829548018053,26.787984050111845,None,None,None,29.521281369030476,None,space,0.7181561829056591,29.521281369030476,None,,001,2020_Apr_13_1441,BETA_001,3.1.2,60.31026837669977,
,,,,,,,,,,,,,,,,,,,31.337801710003987,31.537764776032418,30.271066626068205,31.270945518044755,31.58771393308416,32.370915088104084,32.4376717901323,32.637731361202896,31.2877552381251,31.604753360152245,32.38773236516863,32.670987049117684,31.2877552381251,31.570906348060817,32.38773236516863,32.670987049117684,,,,,,,,,,,,,,,,,,,,,
