instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Trial,Psychopy_input_value,Desired_dB,Condition,Response_time,Accuracy,text_11.started,text_11.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,13,12,start,4,lin,33.93705762123017,0,13,6.264016327469801e-05,33.93705762123017,Quiet,3.67013559499901,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,14,13,start,4,lin,33.99827573418986,0,14,6.308321034002297e-05,33.99827573418986,Quiet,0.013925601000664756,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,15,14,start,4,lin,34.05042321322236,0,15,6.346308221215796e-05,34.05042321322236,Quiet,1.6051696379981877,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,16,15,start,4,lin,34.09726840647534,0,16,6.380627926107846e-05,34.09726840647534,Quiet,0.4318272540003818,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,17,16,start,4,lin,34.14240012197687,1,17,6.413867828253027e-05,34.14240012197687,Quiet,0.47499285499725374,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,18,17,start,4,lin,34.11577302114304,1,18,6.394235849535439e-05,34.11577302114304,Quiet,1.4757903009995061,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,19,18,start,4,lin,34.09578719605128,0,19,6.379539926238094e-05,34.09578719605128,Quiet,0.1878388460027054,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,20,19,start,4,lin,34.123537118735,0,20,6.399954050924261e-05,34.123537118735,Quiet,3.424551487001736,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,21,20,start,4,lin,34.148929870173006,0,21,6.41869136273104e-05,34.148929870173006,Quiet,1.4355002849988523,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,22,21,start,4,lin,34.17473128832321,1,22,6.437786419720532e-05,34.17473128832321,Quiet,1.587758825000492,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,23,22,start,4,lin,34.15876948642932,0,23,6.425966754116596e-05,34.15876948642932,Quiet,0.4482237990014255,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,24,23,start,4,lin,34.18028037598048,1,24,6.441900592981933e-05,34.18028037598048,Quiet,2.353521149001608,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,25,24,start,4,lin,34.16721254865009,1,25,6.432216109907574e-05,34.16721254865009,Quiet,0.6098300399971777,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,26,25,start,4,lin,34.15602461640099,1,26,6.423936374089925e-05,34.15602461640099,Quiet,0.3122426779991656,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,27,26,start,4,lin,34.1461562969133,1,27,6.416642077120172e-05,34.1461562969133,Quiet,0.3994781640030851,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,28,27,start,4,lin,34.137260019351245,0,28,6.410073376867946e-05,34.137260019351245,Quiet,0.4429663470000378,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,29,28,start,4,lin,34.150754949090896,1,29,6.420040199706709e-05,34.150754949090896,Quiet,2.8713690639997367,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,30,29,start,4,lin,34.142653304619344,1,30,6.414054787072465e-05,34.142653304619344,Quiet,2.0235560620021715,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,215.03622279800038,None,e,4.227258302998962,215.03622279800038,None,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
