interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,13.516684447880834,None,space,0.8016482249367982,13.516684447880834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1604,BETA_002,3.1.2,60.208724672872194,
,,,,,,,,,,,,,14.649745455943048,None,space,0.5123096159659326,14.649745455943048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1604,BETA_002,3.1.2,60.208724672872194,
2,0,1,0,0,0,1,,,,,,,,,,,,,16.24950148584321,16.449748195009306,15.199606441892684,16.19949561683461,16.499521075980738,17.2994747729972,17.349424161948264,17.549433551961556,16.19949561683461,16.499521075980738,17.2994747729972,None,16.19949561683461,16.499521075980738,17.2994747729972,None,17.882748772855848,None,2,1.2280716160312295,17.882748772855848,None,19.132963811978698,None,20.416072936961427,None,space,0.8547406489960849,20.416072936961427,None,,001,2020_Apr_13_1604,BETA_002,3.1.2,60.208724672872194,
1,1,0,0,1,1,0,,,,,,,,,,,,,22.365979878930375,22.582615519873798,21.299261743901297,22.299364034784958,22.61595150688663,23.399342087795958,23.466021502856165,23.68265499197878,22.31598998582922,22.61595150688663,23.416008149972185,23.699307572795078,22.31598998582922,22.5994169479236,23.416008149972185,23.699307572795078,24.049518059939146,None,1,0.16888507502153516,24.049518059939146,None,24.249322106828913,None,25.53239862481132,None,space,0.49719654209911823,25.53239862481132,None,,001,2020_Apr_13_1604,BETA_002,3.1.2,60.208724672872194,
1,1,0,0,2,2,4,,,,,,,,,,,,,27.115956684807315,27.332487120991573,26.04940593196079,27.049204461975023,27.365829224931076,28.14914358779788,28.215957044856623,28.43254231591709,27.065795761998743,27.365829224931076,28.165866957977414,28.44919333793223,27.065795761998743,27.34913255693391,28.165866957977414,28.44919333793223,28.749649945879355,None,1,0.5199067948851734,28.749649945879355,None,29.29913753992878,None,30.58278180193156,None,space,0.6217636631336063,30.58278180193156,None,,001,2020_Apr_13_1604,BETA_002,3.1.2,60.208724672872194,
,,,,,,,,,,,,,,,,,,,32.29917370993644,32.499093583785,31.232649593846872,32.23252670792863,32.54916578787379,33.33240872900933,33.399140080902725,33.59909597481601,32.24908613786101,32.54916578787379,33.349246121943,33.63256836682558,32.24908613786101,32.53252874291502,33.349246121943,33.63256836682558,33.93266567890532,None,1,0.2531560061033815,33.93266567890532,None,,,,,,,,,,,,,,,
