interval,probe1,probe2,feedbackColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.424939226126298,None,space,0.39842684217728674,11.424939226126298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1507,BETA_002,3.1.2,59.81579605537767,
,,,,,,,,,,,,,,12.130290969042107,None,space,0.48057464021258056,12.130290969042107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1507,BETA_002,3.1.2,59.81579605537767,
1,1,0,red,0,0,0,0,,,,,,,,,,,,,13.696305751102045,13.896432863082737,12.645864332094789,13.646155700087547,13.94636575318873,14.746021629078314,14.796309928176925,14.996299111982808,13.646155700087547,13.94636575318873,14.746021629078314,None,13.646155700087547,13.94636575318873,14.746021629078314,None,15.329947578022256,None,1,0.4421965430956334,15.329947578022256,None,15.795715960208327,None,17.079582118196413,None,space,0.785193732008338,17.079582118196413,None,,001,2020_Apr_13_1507,BETA_002,3.1.2,59.81579605537767,
1,1,0,red,0,1,1,4,,,,,,,,,,,,,18.962831321172416,19.16279526008293,17.91261090617627,18.89591771014966,19.2129676991608,19.996097448049113,20.06259759515524,20.262771369190887,18.912770860129967,19.229229035088792,20.012777782045305,20.296180297154933,18.912770860129967,19.196239377139136,20.012777782045305,20.296180297154933,20.59623465919867,None,2,0.46350009203888476,20.59623465919867,None,21.07894076919183,None,22.363104762043804,None,space,0.9577876508701593,22.363104762043804,None,,001,2020_Apr_13_1507,BETA_002,3.1.2,59.81579605537767,
,,,,,,,,,,,,,,,,,,,,24.41274810116738,24.61280835000798,23.346066766185686,24.346187280025333,24.66269921604544,25.446248739026487,25.512647818075493,25.712864719098434,24.362741616088897,24.67926593613811,25.462780898204073,25.74585152999498,24.362741616088897,24.646045389119536,25.462780898204073,25.74585152999498,26.046366531169042,None,1,0.4245250460226089,26.046366531169042,None,26.496078486088663,None,,,,,,,,,,,,,
