instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.894140899999911,None,space,0.7832285999993474,9.894140899999911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,10.702779700000974,None,b,1.0988959000005707,10.702779700000974,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,11.820581500000117,None,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,30,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,46.851603530952175,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,43.218302217163625,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,51.107475311306814,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,48.60923349678072,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,46.73118529628751,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,45.92293093893875,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,45.29793917507036,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,9,8,start,4,lin,44.80347702428668,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1513,toneDetectionPlatform_V1.6,2020.2.4,59.85765848848737,
,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,10,9,start,4,lin,44.40907501959279,,,,,,,,,,,
