trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,47.66029638401233,None,space,2.1838056549895555,47.66029638401233,None,,,,,,,,,,,,,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
0,0,0,0,,,,,,,50.943486084928736,51.143637349130586,49.909961235011,50.87688673706725,51.19363751797937,51.97677278611809,52.04823106806725,52.260234941961244,50.89369554910809,51.19363751797937,51.99360130005516,52.27692270698026,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
1,0,1,0,,,,,,,53.36007982608862,53.561237371061,52.293494932120666,53.293457444990054,53.61041981494054,54.39324033702724,54.46020594891161,54.66009490401484,53.3103469889611,53.626968482043594,54.41013733902946,None,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
2,0,2,0,,,,,,,55.76022081798874,55.96023427112959,54.6933158300817,55.69327357294969,56.0102066451218,56.7934875250794,56.86118159792386,57.06007727794349,55.71002722391859,56.02718366798945,56.81001305091195,None,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
3,0,3,0,,,,,,,58.160117868101224,58.36027645505965,57.09345678403042,58.09336571698077,58.41026589204557,59.19349892693572,59.26027554599568,59.46034408011474,58.11011989903636,58.42682955390774,59.210097019094974,None,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
4,0,4,0,,,,,,,60.56014257692732,60.76027104607783,59.4935643679928,60.493465329986066,60.81003838800825,61.59346776804887,61.66013417602517,61.86028637201525,60.510155360912904,60.81003838800825,61.61026978306472,None,,001,2020_Mar_31_1115,BETA_001,3.1.2,59.95721130456919,
