instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.478286599998683,None,space,0.6112159000003885,12.478286599998683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,13.143450699999448,None,c,0.631878999998662,13.143450699999448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,13.796626499999547,None,b,1.0442512999998144,13.796626499999547,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,14.864309999999023,None,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,30,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,26.749378204770803,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,21.575686859695864,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,35.354049902085684,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,29.24895621805789,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,26.617884382455454,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,25.49977945072655,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1458,toneDetectionPlatform_V1.6,2020.2.4,59.95347610271629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,24.62208667433761,,,,,,,,,,,
