condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,feedbackText_2.started,feedbackText_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,29.283224038999833,None,space,0.5170327010000619,29.283224038999833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_0959,toneDetectionPlatform_V1.7,2020.2.5,60.054385371220356,
1,,,,,0,0,0,0,,,,,,,29.832509494999613,None,34.84838804100036,None,37.8649061899996,None,37.84808773750065,38.04809611500059,37.8649061899996,None,37.8649061899996,None,38.198068653999144,None,38.198068653999144,None,38.198068653999144,None,41.197218639999846,None,41.197242584499875,41.39714997400006,41.197218639999846,None,41.197218639999846,None,41.53058270499969,None,2,0,0.7236590149987023,41.53058270499969,None,42.280668256000354,None,43.280753119999645,None,c,3.6872032029987167,43.280753119999645,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_0959,toneDetectionPlatform_V1.7,2020.2.5,60.054385371220356,
