interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.701723848003894,None,space,0.7668881129939109,12.701723848003894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1446,BETA_001,3.1.2,59.80846618275739,
,,,,,,,,,,,,,13.834393339930102,None,space,0.39925175718963146,13.834393339930102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1446,BETA_001,3.1.2,59.80846618275739,
1,1,0,0,0,0,2,,,,,,,,,,,,,15.334238697076216,15.53430140693672,14.268153683980927,15.267593536060303,15.584149457048625,16.367942481068894,16.418009022949263,16.618277601897717,15.284172147046775,15.584149457048625,16.367942481068894,None,15.284172147046775,15.567724796012044,16.367942481068894,None,16.951607153052464,None,1,0.3982915359083563,16.951607153052464,None,17.36797211994417,None,18.63477196986787,None,space,0.627532484009862,18.63477196986787,None,,001,2020_Apr_13_1446,BETA_001,3.1.2,59.80846618275739,
,,,,,,,,,,,,,,,,,,,20.351556231966242,20.551576900063083,19.284716304857284,20.284636995056644,20.60116537590511,21.38479699497111,21.451317959930748,21.65079935407266,20.30109580606222,20.617722681956366,21.401238579070196,21.68409697106108,20.30109580606222,20.58463073289022,21.401238579070196,21.68409697106108,21.96929098595865,None,2,0.4544853449333459,21.96929098595865,None,,,,,,,,,,,,,,,
