interval,probe1,probe2,startProbe1,startProbe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.40143726899987,None,space,0.5719616670030518,10.40143726899987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1126,BETA_003,3.1.2,60.158942211031636,
,,,,,,,,,,,,,,,11.384802045002289,None,space,0.42111259100056486,11.384802045002289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1126,BETA_003,3.1.2,60.158942211031636,
1,1,0,0.2,0.0,0,0,0,0,,,,,,,,,,,,,12.900963051000872,13.101198014999682,11.851113799002633,12.851025135001692,13.15092417300184,13.951057566002419,14.001021685999149,14.017826498999057,12.851025135001692,13.167568364002364,13.951057566002419,14.267584249999345,12.851025135001692,13.15092417300184,13.951057566002419,14.251086481999664,14.584413438999036,None,1,1.383861901002092,14.584413438999036,None,16.000825167000585,None,17.334348595999472,None,space,0.4564037890013424,17.334348595999472,None,,001,2020_Apr_14_1126,BETA_003,3.1.2,60.158942211031636,
,,,,,,,,,,,,,,,,,,,,,18.884433903000172,18.900976004999393,17.81746063200262,18.817463987001247,19.134429290999833,19.91749220299971,19.984368700999767,20.184455957001774,18.834579845999542,19.15099575700151,19.934412859001895,20.250899921000382,18.834579845999542,19.117410756000027,19.934412859001895,20.217550682002184,20.584356653002033,None,2,1.2000785769996583,20.584356653002033,None,21.800752872000885,None,,,,,,,,,,,,,
