interval,probe1,probe2,startProbe1,startProbe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.680434052999772,None,space,0.3642185900025652,10.680434052999772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
,,,,,,,,,,,,,,,11.40605556599985,None,space,0.2685830500013253,11.40605556599985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
1,1,0,0.2,0.0,0,0,0,2,,,,,,,,,,,,,12.772604722002143,12.972358473001805,11.722565944000962,12.722535777000303,13.02234801600207,13.822502428000007,13.889310757000203,13.905867948000378,12.739095133001683,13.039434014001017,13.839539055003115,14.139173472001858,12.739095133001683,13.02234801600207,13.839539055003115,14.122686689002876,14.48848056100178,None,1,0.18993411300107255,14.48848056100178,None,14.705622334000509,None,16.022407905002183,None,space,0.33236751000004006,16.022407905002183,None,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
2,0,1,0.0,0.2,0,1,1,3,,,,,,,,,,,,,17.438942390999728,17.455983100000594,16.372257175000414,17.372241655000835,17.6888481590031,18.4721478270003,18.53905784000017,18.73909082099999,17.38910492600189,17.70557624600042,18.48900936300197,18.78890813900216,17.38910492600189,17.67227867100155,18.48900936300197,18.77228609500162,19.122450740000204,None,2,0.37099456999931135,19.122450740000204,None,19.5221192420031,None,20.839748258000327,None,space,0.2286486880002485,20.839748258000327,None,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
1,1,0,0.2,0.0,0,2,2,0,,,,,,,,,,,,,22.15550061400063,22.35561671400137,21.088729111001157,22.08892434000154,22.405841806001263,23.18884768400312,23.255551322999963,23.272201966003195,22.105620032001752,22.42220401400118,23.205570529000397,23.522069845999795,22.105620032001752,22.388804130001517,23.205570529000397,23.48874800500198,23.822097064003174,None,1,0.6100322279999091,23.822097064003174,None,24.45540445900042,None,25.739439068001957,None,space,0.3127340600003663,25.739439068001957,None,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
2,0,1,0.0,0.2,0,3,3,1,,,,,,,,,,,,,27.138864172000467,27.15566131700325,26.072112492001907,27.072124445003283,27.388834774003044,28.17208763200324,28.23885448100191,28.45552179600054,27.088715099002002,27.388834774003044,28.188784696001676,28.48866209800326,27.088715099002002,27.372116015001666,28.188784696001676,28.472085648001666,28.78893283599973,None,2,0.7619853219985089,28.78893283599973,None,29.57218124600331,None,30.85531233400252,None,space,0.24810586399689782,30.85531233400252,None,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
1,1,0,0.2,0.0,0,4,4,4,,,,,,,,,,,,,32.1887257610033,32.38872425400041,31.121993059001397,32.12211742200088,32.43868968300012,33.22200406400225,33.28879940000115,33.30540513100277,32.13882514400029,32.455284405001294,33.23885604700263,33.55526231800104,32.13882514400029,32.421944605001045,33.23885604700263,33.522040566000214,33.85552807700151,None,1,0.26295739299894194,33.85552807700151,None,34.13887167800203,None,35.438655715002824,None,space,0.24351766299878363,35.438655715002824,None,,001,2020_Apr_14_1434,BETA_003,3.1.2,60.002267244667784,
