condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoice_Noise.started,firstChoice_Noise.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoice_Noise.started,secondChoice_Noise.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,Trial,Psychopy_input_value,Desired_dB,Condition,Response_time,Accuracy,feedbackText_2.started,feedbackText_2.stopped,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,14.065197085999898,None,space,3.721702399001515,14.065197085999898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simultaneous,,,,,,1,Short,Simultaneous,0.8912509381337447,Yes,No,2020_Nov_04_1116,toneDetectionPlatform_V1.7,2020.2.5,59.9865597714597,
1,,,,,0,0,0,0,,,,,,,17.814599101000567,None,22.831310985000528,None,26.047044236200783,None,25.846980076400726,26.180795926000428,25.863554474999546,26.196824108999863,25.863554474999546,26.196824108999863,25.863554474999546,26.196824108999863,26.247255471000244,None,26.247255471000244,None,26.247255471000244,None,29.479827241199565,29.47979906299952,29.279807294600506,None,29.279601169999296,None,29.279601169999296,None,29.279601169999296,None,29.61307037199913,None,2,0,1.1674910760011699,29.61307037199913,None,0,0.01258925411794167,80,Simultaneous,1.1674910760011699,0,30.81344335600079,None,,1,Short,Simultaneous,0.8912509381337447,Yes,No,2020_Nov_04_1116,toneDetectionPlatform_V1.7,2020.2.5,59.9865597714597,
2,,,,,0,1,1,1,,,,,,,,,31.813355607999256,None,35.02988133420022,35.029207888999736,34.82928825440031,None,34.82950750099917,None,34.82950750099917,None,34.82950750099917,None,35.16261093899993,None,35.16261093899993,None,35.16261093899993,None,38.39520632220101,None,38.195936614600036,38.52889694300029,38.19603972299956,38.52889694300029,38.19603972299956,38.52889694300029,38.19603972299956,38.52889694300029,38.5950897040002,None,2,1,2.4791557529988495,38.5950897040002,None,1,0.01258925411794167,80,Simultaneous,2.4791557529988495,1,41.09524409699952,None,,1,Short,Simultaneous,0.8912509381337447,Yes,No,2020_Nov_04_1116,toneDetectionPlatform_V1.7,2020.2.5,59.9865597714597,
1,,,,,0,2,2,2,,,,,,,,,42.09524853000039,None,45.31157866220074,None,45.1113377634003,45.44493444,45.11146458999974,45.44493444,45.11146458999974,45.44493444,45.11146458999974,45.44493444,45.511259434999374,None,45.511259434999374,None,45.511259434999374,None,48.76114745720097,48.761140402999445,48.56120708219951,None,48.56093207000049,None,48.56093207000049,None,48.56093207000049,None,48.894115477000014,None,1,1,0.4152726199990866,48.894115477000014,None,2,0.01258925411794167,80,Simultaneous,0.4152726199990866,1,49.32747917400047,None,,1,Short,Simultaneous,0.8912509381337447,Yes,No,2020_Nov_04_1116,toneDetectionPlatform_V1.7,2020.2.5,59.9865597714597,
,,,,,,,,,,,,,,,,,50.327456023000195,None,53.54390701519933,53.543604336999124,53.344403164400504,None,53.34379350999916,None,53.34379350999916,None,53.34379350999916,None,53.67704811099975,None,53.67704811099975,None,53.67704811099975,None,56.926881375199265,None,56.72695456520032,57.06026127599944,56.72700719900058,57.06026127599944,56.72700719900058,57.06026127599944,56.72700719900058,57.06026127599944,,,,,,,,,,,,,,,,,,,,,,,,,,,
