interval,probe1,probe2,startProbe1,startProbe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.951190565001525,None,space,0.44247113299934426,9.951190565001525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
,,,,,,,,,,,,,,,10.751738961000228,None,space,0.5194463509997149,10.751738961000228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
2,0,1,0.0,0.2,0,0,0,1,,,,,,,,,,,,,12.367791922000833,12.384354076000818,11.31767291899996,12.317678895000427,12.617807336000624,13.417631692000214,13.467799953001304,13.684272226000758,12.317678895000427,12.617807336000624,13.417631692000214,13.73418098700131,12.317678895000427,12.617807336000624,13.417631692000214,13.716987228001017,14.068082935000348,None,2,1.4104886320001242,14.068082935000348,None,15.501110985000196,None,16.85098014000141,None,space,0.5400955770001019,16.85098014000141,None,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
2,0,1,0.0,0.2,0,1,1,3,,,,,,,,,,,,,18.48409391700079,18.500979096001174,17.417412192000484,18.417719930001113,18.734131875000458,19.51749211600145,19.58420032899994,19.784248900999955,18.434284093000315,18.750911355000426,19.534316737001063,19.85083415400004,18.434284093000315,18.71747356800006,19.534316737001063,19.817519204001655,20.18424315700031,None,2,0.581742784999733,20.18424315700031,None,20.78433090100043,None,22.13427377300104,None,space,0.38669352599936246,22.13427377300104,None,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
1,1,0,0.2,0.0,0,2,2,0,,,,,,,,,,,,,23.617357670000274,23.817524199001127,22.55068450500039,23.55061414300144,23.867306207001093,24.650597785001082,24.71728697400067,24.73420107000129,23.56754385700151,23.884037670000907,24.66737428700071,24.984089115001552,23.56754385700151,23.850668728000528,24.66737428700071,24.950783924999996,25.28419705000124,None,1,0.3979713090011501,25.28419705000124,None,25.700577139001325,None,26.984036453000954,None,space,0.5206002459999581,26.984036453000954,None,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
1,1,0,0.2,0.0,0,3,3,2,,,,,,,,,,,,,28.600715583001147,28.80074378200152,27.534019910001007,28.53403204100141,28.850754664001215,29.63418684899989,29.700820608000868,29.717342791000192,28.55063923600028,28.867322381000122,29.650641059000918,29.967297032000715,28.55063923600028,28.833999597000002,29.650641059000918,29.934097940000356,30.267298340000707,None,1,0.3760317579999537,30.267298340000707,None,30.667250752001564,None,31.95079312100097,None,space,0.5262306870008615,31.95079312100097,None,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
1,1,0,0.2,0.0,0,4,4,4,,,,,,,,,,,,,33.56720894300088,33.76734379300069,32.50051309900118,33.50063667100039,33.81717938100155,34.60074739300035,34.66726649300108,34.683839103001446,33.517180946000735,33.81717938100155,34.61723243400047,34.91719535700031,33.517180946000735,33.80075726300129,34.61723243400047,34.90096312300011,35.217383058999985,None,1,0.6458439699999872,35.217383058999985,None,35.88391445100024,None,37.1672930800014,None,space,0.3608591730007902,37.1672930800014,None,,001,2020_Apr_14_1113,BETA_003,3.1.2,60.046669472264824,
