condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_6.started,text_6.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,feedbackText_2.started,feedbackText_2.stopped,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.089819399999215,None,space,3.2581295999998474,10.089819399999215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1344,toneDetectionPlatform_V1.6,2020.2.4,59.8562611745755,
1,,,,,0,0,0,0,,,,,,,13.40170659999967,None,16.441592399999536,None,16.384514469999978,None,16.441592399999536,None,16.441592399999536,None,16.80729749999955,None,16.80729749999955,None,16.80729749999955,None,19.811056699999426,None,19.771393169999193,19.811056699999426,19.811056699999426,None,19.811056699999426,None,20.1384309999994,None,1,1,1.353487999999743,20.1384309999994,None,21.522822099999757,None,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1344,toneDetectionPlatform_V1.6,2020.2.4,59.8562611745755,
2,,,,,0,1,1,1,,,,,,,22.524183999999877,None,25.52661639999951,None,25.527081369999998,25.52661639999951,25.52661639999951,None,25.52661639999951,None,25.86069199999929,None,25.86069199999929,None,25.86069199999929,None,28.863768199999868,None,28.86379016999954,None,28.863768199999868,None,28.863768199999868,None,29.19719289999921,None,2,1,0.7721404999992956,29.19719289999921,None,29.998277400000006,None,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1344,toneDetectionPlatform_V1.6,2020.2.4,59.8562611745755,
1,,,,,0,2,2,2,,,,,,,30.999154199999793,None,34.0018455999998,None,34.00214546999914,None,34.0018455999998,None,34.0018455999998,None,34.33566350000001,None,34.33566350000001,None,34.33566350000001,None,37.33865389999937,None,37.33881776999997,37.33865389999937,37.33865389999937,None,37.33865389999937,None,37.67249889999948,None,1,1,0.4750251000004937,37.67249889999948,None,38.1726564999999,None,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1344,toneDetectionPlatform_V1.6,2020.2.4,59.8562611745755,
