interval,probe1,probe2,startProbe1,startProbe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,15.733322683001461,None,space,0.42375526999967406,15.733322683001461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
,,,,,,,,,,,,,,,16.533062960003008,None,space,0.4790385439991951,16.533062960003008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
2,0,1,0.0,0.2,0,0,0,1,,,,,,,,,,,,,18.133024306000152,18.150026252002135,17.066298020999966,18.066456444001233,18.382848804001696,19.166355872999702,19.232985001002817,19.433134798000538,18.082973982000112,18.382848804001696,19.18300759700287,19.482967697000277,18.082973982000112,18.366384362001554,19.18300759700287,19.46627114399962,19.81663172700064,None,2,0.3904600429996208,19.81663172700064,None,20.23277657500148,None,21.549737684999855,None,space,0.45740242000101716,21.549737684999855,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
1,1,0,0.2,0.0,0,1,1,0,,,,,,,,,,,,,23.0996176760018,23.299876639001013,22.032741988001362,23.032776860000013,23.349859511999966,24.132748866002657,24.199942593000742,24.216176002002612,23.04971745200237,23.366822513002262,24.149668187001225,24.46603410300304,23.04971745200237,23.33270660600101,24.149668187001225,24.43287860000055,24.800054405000992,None,1,0.5033141899984912,24.800054405000992,None,25.332700308001222,None,26.64967504500237,None,space,0.2511617550007941,26.64967504500237,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
1,1,0,0.2,0.0,0,2,2,4,,,,,,,,,,,,,27.999918012003036,28.20078380400082,26.932898885999748,27.932642649000627,28.25018624400036,29.032872594001674,29.09974207200139,29.11616978500024,27.94972188000247,28.25018624400036,29.049514736001584,29.366221870001027,27.94972188000247,28.232706818002043,29.049514736001584,29.33278256400081,29.69951697900251,None,1,0.3175073269994755,29.69951697900251,None,30.049570005001442,None,31.366451909001626,None,space,0.46185984700059635,31.366451909001626,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
2,0,1,0.0,0.2,0,3,3,3,,,,,,,,,,,,,32.916234522002924,32.93269260500165,31.849274200001673,32.84940545500285,33.1659421100012,33.94935046400133,34.016222925001784,34.21632287700049,32.8662514150019,33.18262392000179,33.96604167100304,34.282664638001734,32.8662514150019,33.149310931999935,33.96604167100304,34.249232918002235,34.58332963500288,None,2,0.6988199900006293,34.58332963500288,None,35.29924345600011,None,36.599264022999705,None,space,0.2915114069983247,36.599264022999705,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
1,1,0,0.2,0.0,0,4,4,2,,,,,,,,,,,,,37.98262100800275,38.18258603200229,36.9158657950029,37.91594657800306,38.2326775319998,39.01588882700162,39.08270478100167,39.09959718200116,37.93270846500309,38.2326775319998,39.03267226800017,39.33270449799966,37.93270846500309,38.21598880400052,39.03267226800017,39.315893787003006,39.649233394000476,None,1,0.9653463770009694,39.649233394000476,None,40.632593196001835,None,41.916677864999656,None,space,0.5203949840033602,41.916677864999656,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
2,0,1,0.0,0.2,1,0,5,3,,,,,,,,,,,,,43.53255743600312,43.54935234799996,42.46575497400045,43.46579215699967,43.782476686003065,44.565855712000484,44.63267055700271,44.832641856999544,43.48267598700113,43.799259760002315,44.58268152800156,44.89911765500074,43.48267598700113,43.76593070700255,44.58268152800156,44.86619750700265,45.19920836399979,None,2,6.474090610998246,45.19920836399979,None,51.71580141600134,None,52.98241065399998,None,space,0.4234075429994846,52.98241065399998,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
1,1,0,0.2,0.0,1,1,6,0,,,,,,,,,,,,,54.49918061700009,54.69917688200076,53.43243702100153,54.432337563001056,54.749024161003035,55.532324187002814,55.599200800999824,55.615756113002135,54.44912988000215,54.765744918000564,55.54917950000163,55.865662525000516,54.44912988000215,54.73245586499979,55.54917950000163,55.832339166001475,56.16570762600168,None,1,1.481334246996994,56.16570762600168,None,57.66556022500299,None,58.96579739000299,None,space,0.3349924930007546,58.96579739000299,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
2,0,1,0.0,0.2,1,2,7,1,,,,,,,,,,,,,60.399199789000704,60.415950775000965,59.33234049400198,60.33257510600015,60.649474260000716,61.43250917300247,61.499177454003075,61.69899521700063,60.349040108001645,60.665676189000806,61.44910351400176,61.76556049999999,60.349040108001645,60.632242564999615,61.44910351400176,61.732214470001054,62.082253060001676,None,2,0.3122783389990218,62.082253060001676,None,62.415650143000676,None,63.71569214900228,None,space,0.36634316600247985,63.71569214900228,None,,001,2020_Apr_14_1501,BETA_003,3.1.2,60.00254338765205,
