trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.147584441117942,None,space,1.0227156248874962,11.147584441117942,None,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1131,BETA_001,3.1.2,60.40779382874231,
,,,,,,,,,,12.464848115108907,None,space,1.1164245980326086,12.464848115108907,None,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1131,BETA_001,3.1.2,60.40779382874231,
0,0,0,0,,,,,,,,,,,,,14.675316642969847,14.875158292008564,13.60899601294659,14.608823911985382,14.925335108069703,15.70910926302895,15.775471270084381,15.97554130712524,14.625628428999335,14.925335108069703,15.725477446103469,16.008751708082855,14.625628428999335,14.908552889013663,15.725477446103469,16.008751708082855,,001,2020_Mar_31_1131,BETA_001,3.1.2,60.40779382874231,
1,0,1,0,,,,,,,,,,,,,17.091978552984074,17.292304817121476,16.025354060111567,17.025334848091006,17.342143325135112,18.12542935903184,18.191748809069395,18.391881210030988,17.041958504123613,17.35863261600025,18.141781504033133,None,17.041958504123613,17.32529728510417,18.141781504033133,None,,001,2020_Mar_31_1131,BETA_001,3.1.2,60.40779382874231,
