instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Trial,Psychopy_input_value,Desired_dB,Condition,trialType,Response_time,Accuracy,text_11.started,text_11.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,13,12,start,4,lin,33.11365367134316,0,13,5.6974783499842384e-05,33.11365367134316,Backward,Test,0.5134204000933096,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,14,13,start,4,lin,33.17406808301642,0,14,5.737245105834855e-05,33.17406808301642,Backward,Test,0.7701694000279531,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,15,14,start,4,lin,33.22617464924472,0,15,5.771766225009084e-05,33.22617464924472,Backward,Test,0.24056239996571094,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,16,15,start,4,lin,33.2757413238148,0,16,5.804797395583191e-05,33.2757413238148,Backward,Test,0.9210191000020131,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,17,16,start,4,lin,33.32225022494153,0,17,5.8359627506420586e-05,33.32225022494153,Backward,Test,0.4233814999461174,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,18,17,start,4,lin,33.36527684897452,1,18,5.8649436317753703e-05,33.36527684897452,Backward,Test,0.45658589992672205,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,19,18,start,4,lin,33.33951865169538,1,19,5.8475767757154494e-05,33.33951865169538,Backward,Test,0.5196601999923587,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,20,19,start,4,lin,33.319369868808025,1,20,5.834027788886785e-05,33.319369868808025,Backward,Test,0.500388800050132,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,21,20,start,4,lin,33.302886542287816,0,21,5.8229669763907605e-05,33.302886542287816,Backward,Test,1.0286451999563724,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,22,21,start,4,lin,33.32509542313519,1,22,5.837874724106108e-05,33.32509542313519,Backward,Test,0.1741961999796331,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,23,22,start,4,lin,33.311739999730925,0,23,5.8289053057242726e-05,33.311739999730925,Backward,Test,0.25324150000233203,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,24,23,start,4,lin,33.330623356990614,0,24,5.841591287180714e-05,33.330623356990614,Backward,Test,0.3229793000500649,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,25,24,start,4,lin,33.34922882406669,1,25,5.8541175828266905e-05,33.34922882406669,Backward,Test,0.23279849998652935,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,26,25,start,4,lin,33.33785819678196,0,26,5.8464590192193756e-05,33.33785819678196,Backward,Test,1.0284090000204742,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,27,26,start,4,lin,33.3544126175556,1,27,5.857612399728311e-05,33.3544126175556,Backward,Test,0.25932169996667653,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,28,27,start,4,lin,33.34425331730974,1,28,5.85076515009031e-05,33.34425331730974,Backward,Test,0.41134660004172474,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,29,28,start,4,lin,33.3351331596944,1,29,5.844625088623095e-05,33.3351331596944,Backward,Test,0.335714100045152,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,30,29,start,4,lin,33.32715139854671,1,30,5.839256729636591e-05,33.32715139854671,Backward,Test,0.4453934000339359,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,200.63176070002373,None,e,1.1871791000012308,200.63176070002373,None,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
