condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoice_Noise.started,firstChoice_Noise.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoice_Noise.started,secondChoice_Noise.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,Trial,Psychopy_input_value,Desired_dB,Condition,Response_time,Accuracy,feedbackText_2.started,feedbackText_2.stopped,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,12.750976606999757,None,space,0.440432236999186,12.750976606999757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
1,,,,,0,0,0,0,,,,,,,,,,,13.217703765998522,None,18.234110580999186,None,21.249834820599425,21.44997997399878,21.249834820599425,21.583247974000187,21.266712516999178,None,21.266712516999178,None,21.266712516999178,None,21.59995826500017,None,21.59995826500017,None,21.59995826500017,None,24.650216599298982,24.650047936998817,24.650216599298982,None,24.650047936998817,None,24.650047936998817,None,24.650047936998817,None,24.98331998699905,None,1,1,0.5264787830001296,24.98331998699905,None,0,0.01258925411794167,80,Quiet,0.5264787830001296,1,25.53273584499948,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
2,,,,,0,1,1,1,,,,,,,,,,,,,26.532701283998904,None,29.549426604599283,29.54955954399884,29.549426604599283,None,29.54955954399884,None,29.54955954399884,None,29.54955954399884,None,29.882769234998705,None,29.882769234998705,None,29.882769234998705,None,32.93238587729884,33.13214122199861,32.93238587729884,None,32.932357959,None,32.932357959,None,32.932357959,None,33.265485996998905,None,1,0,1.3235310210002353,33.265485996998905,None,1,0.01258925411794167,80,Quiet,1.3235310210002353,0,34.61574748199928,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
1,,,,,0,2,2,2,,,,,,,,,,,,,35.61497598299866,None,38.631768216599454,38.83161180999923,38.631768216599454,None,38.63166813499993,None,38.63166813499993,None,38.63166813499993,None,38.96484201000021,None,38.96484201000021,None,38.96484201000021,None,41.99787509189864,41.99777227599952,41.99787509189864,None,41.99777227599952,None,41.99777227599952,None,41.99777227599952,None,42.33097131499926,None,1,1,0.2568185790005373,42.33097131499926,None,2,0.01258925411794167,80,Quiet,0.2568185790005373,1,42.6142053629992,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
2,,,,,0,3,3,3,,,,,,,,,,,,,43.61425523899925,None,46.63048037260015,46.63047785500021,46.63048037260015,None,46.63047785500021,None,46.63047785500021,None,46.63047785500021,None,46.96381202399971,None,46.96381202399971,None,46.96381202399971,None,49.99721685689892,50.196459646998846,49.99721685689892,None,49.997098264999295,None,49.997098264999295,None,49.997098264999295,None,50.32983503399919,None,2,1,1.369980506000502,50.32983503399919,None,3,0.01258925411794167,80,Quiet,1.369980506000502,1,51.729862342999695,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
1,,,,,0,4,4,4,,,,,,,,,,,,,52.72969113899853,None,55.745990600599185,None,55.745990600599185,None,55.74604246799936,None,55.74604246799936,None,55.74604246799936,None,56.079271028998846,None,56.079271028998846,None,56.079271028998846,None,59.112748797899805,59.112699204999444,59.112748797899805,None,59.112699204999444,None,59.112699204999444,None,59.112699204999444,None,59.44610525200005,None,1,1,1.4340679090000776,59.44610525200005,None,4,0.01258925411794167,80,Quiet,1.4340679090000776,1,60.91222329299853,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
2,,,,,0,5,5,5,,,,,,,,,,,,,61.91202350599997,None,64.92890277159896,64.92874976099847,64.92890277159896,None,64.92874976099847,None,64.92874976099847,None,64.92874976099847,None,65.26138625899875,None,65.26138625899875,None,65.26138625899875,None,68.31186367329992,68.51150648399926,68.31186367329992,None,68.31148780199874,None,68.31148780199874,None,68.31148780199874,None,68.64476115899924,None,2,1,0.5151292030004697,68.64476115899924,None,5,0.01258925411794167,80,Quiet,0.5151292030004697,1,69.17817922099857,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1113,toneDetectionPlatform_V1.7,2020.2.5,59.93482543240658,
