instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instructionsLightBulb1.started,instructionsLightBulb1.stopped,instructionsLightBulb2.started,instructionsLightBulb2.stopped,instructionsText.started,instructionsText.stopped,pressSpace.started,pressSpace.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instructionsLightBulb1_2.started,instructionsLightBulb1_2.stopped,instructionsLightBulb2_2.started,instructionsLightBulb2_2.stopped,instructionsText_2.started,instructionsText_2.stopped,pressSpace_2.started,pressSpace_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,instructionsLightBulb1_3.started,instructionsLightBulb1_3.stopped,instructionsLightBulb2_3.started,instructionsLightBulb2_3.stopped,text_3.started,text_3.stopped,pressSpace_3.started,pressSpace_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instructionsLightBulb1_4.started,instructionsLightBulb1_4.stopped,instructionsLightBulb2_4.started,instructionsLightBulb2_4.stopped,instructionsLightBulb1_5.started,instructionsLightBulb1_5.stopped,instructionsLightBulb2_5.started,instructionsLightBulb2_5.stopped,instructionsLightBulb2_6.started,instructionsLightBulb2_6.stopped,text_4.started,text_4.stopped,pressSpace_4.started,pressSpace_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,lightBulbOFF.started,lightBulbOFF.stopped,lightBulbON.started,lightBulbON.stopped,sound_1.started,sound_1.stopped,instructions_8_firstLine.started,instructions_8_firstLine.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,instructions_8_pressP.started,instructions_8_pressP.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_6.started,text_6.stopped,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.114530899998499,None,space,0.6050860999966972,12.114530899998499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_03_1200,toneDetectionPlatform_V1.7,2020.2.4,59.84343759945512,
0,0,0,0,,,,,,,,,,,12.81008950000978,None,12.81008950000978,None,12.81008950000978,None,12.81008950000978,None,space,0.5194679999985965,12.81008950000978,None,13.37146350000694,None,13.37146350000694,None,13.37146350000694,None,13.37146350000694,None,space,0.3271411000023363,13.37146350000694,None,13.758059700005106,None,13.758059700005106,None,13.758059700005106,None,13.758059700005106,None,space,0.4646303000045009,13.758059700005106,None,14.29165450000437,None,14.29165450000437,None,15.305765600001905,None,15.305765600001905,18.32097720001184,18.248732100008056,None,15.305765600001905,None,19.238347600010457,None,space,0.4972169999964535,19.238347600010457,None,19.755492000011145,None,21.741089200004353,None,space,0.5535028000012971,21.741089200004353,None,22.324793799998588,24.326763700009906,24.310119500005385,None,24.309847949999675,None,25.311213400011184,None,27.296509600011632,None,29.29841290001059,None,31.28380710000056,None,p,1.427485100008198,31.28380710000056,None,,,,1,Short,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_03_1200,toneDetectionPlatform_V1.7,2020.2.4,59.84343759945512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.73516160000872,None,,,,,,,,,,,,
