instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,16,15,start,4,lin,14.559439562148182,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,17,16,start,4,lin,14.39296292099894,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,18,17,start,4,lin,14.259621293609008,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,19,18,start,4,lin,14.153949773891405,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,20,19,start,4,lin,14.069462526958539,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,21,20,start,4,lin,13.99949830793173,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,22,21,start,4,lin,13.939527734378444,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,23,22,start,4,lin,13.884978310290652,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,24,23,start,4,lin,13.830802904661589,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,25,24,start,4,lin,13.768896700099091,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,26,25,start,4,lin,13.667203786442709,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,27,26,start,4,lin,13.068761948381152,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,28,27,start,4,lin,12.450573116466103,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,29,28,start,4,lin,11.946022307646068,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,30,29,start,4,lin,11.537824479374507,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
