trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.59005080210045,None,space,0.7553660818375647,9.59005080210045,None,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1130,BETA_001,3.1.2,60.081274062060274,
,,,,,,,,,,10.61172623699531,None,space,2.6545692728832364,10.61172623699531,None,,,,,,,,,,,,,,,,,,001,2020_Mar_31_1130,BETA_001,3.1.2,60.081274062060274,
0,0,0,0,,,,,,,,,,,,,14.360655457014218,14.561003708979115,13.294389982009307,14.294169298140332,14.61123072099872,15.394463822012767,15.461027696961537,15.66144190914929,14.310816023033112,14.61123072099872,15.411105734994635,15.695613386109471,14.310816023033112,14.594542385078967,15.411105734994635,15.695613386109471,,001,2020_Mar_31_1130,BETA_001,3.1.2,60.081274062060274,
1,0,1,0,,,,,,,,,,,,,16.777873195009306,16.977678544120863,15.711326324148104,16.711120564956218,17.027390111936256,17.81122409692034,17.877664227038622,18.077954471111298,16.728313353145495,17.044011338148266,17.82788371713832,None,16.728313353145495,17.010644497117028,17.82788371713832,None,,001,2020_Mar_31_1130,BETA_001,3.1.2,60.081274062060274,
