condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,feedbackText_2.started,feedbackText_2.stopped,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,14.443174670001099,None,space,1.2773155820013926,14.443174670001099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1048,toneDetectionPlatform_V1.7,2020.2.5,60.01589088789707,
1,,,,,0,0,0,0,,,,,,,15.743384584000523,None,20.760050503000457,None,23.75922855480021,None,23.776170316999924,None,23.776170316999924,None,23.776170316999924,None,24.10920427400015,None,24.10920427400015,None,24.10920427400015,None,27.109035596801185,27.109113305999927,27.109113305999927,None,27.109113305999927,None,27.109113305999927,None,27.442523171001085,None,1,1,0.1918261579994578,27.442523171001085,None,27.65944170000148,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1048,toneDetectionPlatform_V1.7,2020.2.5,60.01589088789707,
2,,,,,0,1,1,1,,,,,,,,,28.65851961500084,None,31.658418612800595,31.658509951999804,31.658509951999804,None,31.658509951999804,None,31.658509951999804,None,31.991998084000443,None,31.991998084000443,None,31.991998084000443,None,34.991822143800526,35.191354560000036,34.99134843600041,None,34.99134843600041,None,34.99134843600041,None,35.32473984700118,None,2,1,0.17329627999970398,35.32473984700118,None,35.52458336300151,None,,1,Short,Quiet,0.8912509381337447,Yes,No,2020_Nov_04_1048,toneDetectionPlatform_V1.7,2020.2.5,60.01589088789707,
