instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.608750399987912,None,space,0.7248792000027606,12.608750399987912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,13.350654999987455,None,b,0.8221981999959098,13.350654999987455,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,14.201642199986964,None,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,1,0,start,4,lin,60,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,2,1,start,4,lin,44.72859592852455,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,3,2,start,4,lin,34.30188944450309,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,4,3,start,4,lin,40.10791987752299,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,5,4,start,4,lin,42.639623741943595,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,6,5,start,4,lin,41.45492248738346,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,7,6,start,4,lin,42.12261053723233,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
,,,,,,,,,,,,,,,,,,,,,,test,60,24,0.63,3.5,0.01,0.01,0.01,100,0,100,0,8,7,start,4,lin,41.84450821694429,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_03_1137,toneDetectionPlatform_V1.7,2020.2.4,59.868337549654385,
