instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,49.99817249999978,None,space,0.7861080999991827,49.99817249999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,50.83317410000018,None,c,0.9871692000015173,50.83317410000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,51.838226800000484,None,b,0.1989770000000135,51.838226800000484,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,,,,,,,52.05482739999934,None,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,30,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,46.851603530952175,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,43.218302217163625,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,40.37694117627842,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1501,toneDetectionPlatform_V1.6,2020.2.4,59.99973600155243,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,38.13968980997562,,,,,,,,,,,
