instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.894740199999433,None,space,0.6276318999989599,8.894740199999433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,9.582020499999999,None,c,2.893518500000937,9.582020499999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,12.503852399999232,None,b,1.0214229000011983,12.503852399999232,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.554939499999819,None,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,50,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,48.544866359866504,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,46.17855805586022,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,44.13910588604035,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,42.32763266230673,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,40.68755510988356,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,39.1813778469473,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,37.782445417320005,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,9,8,start,4,lin,36.473690045196065,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,10,9,start,4,lin,35.241749565420875,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,11,10,start,4,lin,34.07774241641453,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,12,11,start,4,lin,32.9747602666763,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,13,12,start,4,lin,31.923138065549313,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,14,13,start,4,lin,30.921667310182784,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,15,14,start,4,lin,29.967107807216678,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,16,15,start,4,lin,29.058351541231822,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,17,16,start,4,lin,30.820862055164188,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,18,17,start,4,lin,30.289490087975135,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,19,18,start,4,lin,29.89965690755633,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,20,19,start,4,lin,29.673669875465286,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,21,20,start,4,lin,29.514754394660635,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1400,toneDetectionPlatform_V1.6,2020.2.4,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,50,10,0.63,3.5,0.01,0.5,0.01,60,0,60,0,22,21,start,4,lin,29.821815480977047,0,,,,,,,,,,
