condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoice_Noise.started,firstChoice_Noise.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoice_Noise.started,secondChoice_Noise.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,Trial,Psychopy_input_value,Desired_dB,Condition,Response_time,Accuracy,feedbackText_2.started,feedbackText_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,20.524910088002798,None,space,0.6888248760005808,20.524910088002798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
1,,,,,0,0,0,0,,,,,,,,,,,21.256750301003194,None,26.272954649000894,None,29.955077572097796,30.15650903900314,29.955077572097796,30.289072984000086,29.973147814002004,None,29.973147814002004,None,29.973147814002004,None,30.305708280000545,None,30.305708280000545,None,30.305708280000545,None,33.954620490996604,33.95572224300122,33.954620490996604,None,33.95572224300122,None,33.95572224300122,None,33.95572224300122,None,34.28929844100276,None,1,1,0.40174201499758055,34.28929844100276,None,0,0.01258925411794167,80,Backward,0.40174201499758055,1,34.722549087000516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
2,,,,,0,1,1,1,,,,,,,,,,,,,35.72180186100013,None,39.287677519496356,39.28868275000059,39.287677519496356,None,39.28868275000059,None,39.28868275000059,None,39.28868275000059,None,39.62167259800117,None,39.62167259800117,None,39.62167259800117,None,43.15360242309689,43.354598783000256,43.1881500067022,None,43.187882295002055,None,43.187882295002055,None,43.187882295002055,None,43.521361187002185,None,2,1,0.7209959809988504,43.521361187002185,None,1,0.01258925411794167,80,Backward,0.7209959809988504,1,44.27143762200285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
1,,,,,0,2,2,2,,,,,,,,,,,,,45.27074506200006,None,48.85335065119871,49.053907165001874,48.85335065119871,None,48.853937335999944,None,48.853937335999944,None,48.853937335999944,None,49.18740645700018,None,49.18740645700018,None,49.18740645700018,None,52.735783883796834,52.73763899000187,52.75427786970177,None,52.75384874700103,None,52.75384874700103,None,52.75384874700103,None,53.086898125002335,None,1,1,0.27918840200072736,53.086898125002335,None,2,0.01258925411794167,80,Backward,0.27918840200072736,1,53.386817271002656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
2,,,,,0,3,3,3,,,,,,,,,,,,,54.386830781000754,None,57.918596934099334,57.920775661001244,57.93741454070114,None,57.936152981001214,None,57.936152981001214,None,57.936152981001214,None,58.2698989620003,None,58.2698989620003,None,58.2698989620003,None,61.81819127179988,62.01903464800125,61.81819127179988,None,61.81906094900114,None,61.81906094900114,None,61.81906094900114,None,62.152370517000236,None,2,1,0.2924970319982094,62.152370517000236,None,3,0.01258925411794167,80,Backward,0.2924970319982094,1,62.46925944100076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
1,,,,,0,4,4,4,,,,,,,,,,,,,63.46885865000149,None,67.00093816409718,67.20175332200233,67.01846550470073,None,67.01865809300216,None,67.01865809300216,None,67.01865809300216,None,67.35170312500122,None,67.35170312500122,None,67.35170312500122,None,70.88426833609775,70.9011454260035,70.91778430570339,None,70.91801047900299,None,70.91801047900299,None,70.91801047900299,None,71.25121805100207,None,1,1,0.22744603300088784,71.25121805100207,None,4,0.01258925411794167,80,Backward,0.22744603300088784,1,71.50105415600046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
2,,,,,0,5,5,5,,,,,,,,,,,,,72.50115763600115,None,76.03304575609728,76.05095248600264,76.06759136570254,None,76.06715239500045,None,76.06715239500045,None,76.06715239500045,None,76.40062873400166,None,76.40062873400166,None,76.40062873400166,None,79.93311775809853,80.13396850400022,79.95233142570142,None,79.9511468310011,None,79.9511468310011,None,79.9511468310011,None,80.28405950100205,None,2,1,0.3969565590014099,80.28405950100205,None,5,0.01258925411794167,80,Backward,0.3969565590014099,1,80.7000459310002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,,81.70022966500255,None,c,1.444453693999094,81.70022966500255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,,,,,,,,83.16705812800137,None,b,1.7103483419996337,83.16705812800137,None,,,,,,,,,,,,,,,,,,,,,1,Backward,0.8912509381337447,Yes,No,2020_Nov_04_1139,toneDetectionPlatform_V1.7,2020.2.5,60.00915211551406,
,,,,,,,,,,,,,,,,,,,84.90013187300065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,1,0,start,4,lin,80,1,,,,,,,,,,,
