interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.683346148813143,None,space,0.32240206515416503,11.683346148813143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1554,BETA_002,3.1.2,60.025996303944154,
,,,,,,,,,,,,,12.417017397005111,None,space,0.3537773678544909,12.417017397005111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1554,BETA_002,3.1.2,60.025996303944154,
1,1,0,0,0,0,4,,,,,,,,,,,,,13.86640476481989,14.066375081893057,12.816785224946216,13.816421372815967,14.116955898934975,14.916435934836045,14.966888263821602,15.166961777955294,13.816421372815967,14.13364728889428,14.916435934836045,None,13.816421372815967,14.116955898934975,14.916435934836045,None,15.583287618821487,None,1,0.5064001919236034,15.583287618821487,None,16.11632784898393,None,17.415743141900748,None,space,0.8337993677705526,17.415743141900748,None,,001,2020_Apr_13_1554,BETA_002,3.1.2,60.025996303944154,
2,0,1,0,1,1,3,,,,,,,,,,,,,19.333135386928916,19.532986959908158,18.26619942788966,19.26637103082612,19.58310482883826,20.36630872101523,20.43302583997138,20.63302172999829,19.283030561869964,19.5997243009042,20.383106152992696,20.666350182844326,19.283030561869964,19.566278544953093,20.383106152992696,20.666350182844326,20.967030628817156,None,2,0.6125069581903517,20.967030628817156,None,21.59981054603122,None,22.89964269986376,None,space,0.806170092895627,22.89964269986376,None,,001,2020_Apr_13_1554,BETA_002,3.1.2,60.025996303944154,
,,,,,,,,,,,,,,,,,,,24.79952444182709,24.999655133811757,23.732911167899147,24.73278509499505,25.04953397391364,25.83282610285096,25.89954582694918,26.09953904291615,24.74949244200252,25.04953397391364,25.8495367099531,26.1328056268394,24.74949244200252,25.032805183902383,25.8495367099531,26.1328056268394,26.433030562009662,None,2,0.3777350150048733,26.433030562009662,None,,,,,,,,,,,,,,,
