trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,interval,probe1,probe2,startProbe1,startProbe2,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,11.045802846998413,None,space,0.47469361800176557,11.045802846998413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1440,BETA_003,3.1.2,60.088092869606385,
,,,,,,,,,,,,,,,11.929239323999354,None,space,0.27745108299859567,11.929239323999354,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1440,BETA_003,3.1.2,60.088092869606385,
,,,,,,,,,,,,,,,,,,,,,13.295433491999574,13.49581072699948,12.245441750997998,13.245703350999975,13.56201844899988,14.34546021999995,14.395527063999907,14.412380325000413,13.262548708000395,13.56201844899988,14.34546021999995,14.662005772999692,13.262548708000395,13.54532681499768,14.34546021999995,14.645408755997778,14.99557659600032,None,1,0.23736230299982708,14.99557659600032,None,15.261961977997998,None,,,,,,,
