trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,text_6.started,text_6.stopped,last_level_text.started,last_level_text.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,0.2,0.3981071705534975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.09111115001724,None,1,0.1306101999944076,25.091076100012287,None,25.091076100012287,None,25.091076100012287,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
16,0.1,0.2511886431509581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.241054350015474,None,0,0.5960434000007808,25.24184310005512,None,25.24184310005512,None,25.24184310005512,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
17,0.1,0.3162277660168381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85706575002405,None,0,0.16477769997436553,25.85745340003632,None,25.85745340003632,None,25.85745340003632,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
18,0.1,0.3981071705534975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.040181650052546,None,0,0.42797970003448427,26.04029040003661,None,26.04029040003661,None,26.04029040003661,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
19,0.1,0.5011872336272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48977775001549,None,0,0.12429669999983162,26.489689800015185,None,26.489689800015185,None,26.489689800015185,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
20,0.1,0.6309573444801937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.63977475001593,None,0,0.1313347999821417,26.64117460005218,None,26.64117460005218,None,26.64117460005218,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
21,0.1,0.7943282347242822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78962375005358,None,0,0.4794932000222616,26.790346699999645,None,26.790346699999645,None,26.790346699999645,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
22,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.289040350035066,None,0,0.1471478000166826,27.288945500040427,None,27.288945500040427,None,27.288945500040427,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
23,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.45519175005029,None,0,0.12369909998960793,27.455346500035375,None,27.455346500035375,None,27.455346500035375,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
24,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.605490950023523,None,1,0.16775860002962872,27.605490300047677,None,27.605490300047677,None,27.605490300047677,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
25,0.1,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8048683500092,None,1,0.12272390001453459,27.80516730004456,None,27.80516730004456,None,27.80516730004456,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
26,0.1,0.6309573444801932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.954877150041284,None,1,0.12430399999720976,27.955047700030264,None,27.955047700030264,None,27.955047700030264,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
27,0.1,0.5011872336272722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1047197500302,None,1,0.11649310000939295,28.104948100051843,None,28.104948100051843,None,28.104948100051843,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
28,0.1,0.3981071705534972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.238013150024926,None,1,0.9831427999888547,28.23797060002107,None,28.23797060002107,None,28.23797060002107,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
29,0.1,0.3162277660168379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.237158150033792,None,1,0.13616080000065267,29.237277600041125,None,29.237277600041125,None,29.237277600041125,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
30,0.1,0.25118864315095796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.403706750046695,None,1,0.12013250001473352,29.40353990002768,None,29.40353990002768,None,29.40353990002768,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
31,0.05,0.19952623149688792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.553705550002633,None,0,0.19519590004347265,29.553570300049614,None,29.553570300049614,None,29.553570300049614,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
32,0.05,0.2238721138568339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.76985185002559,None,0,0.12569519999669865,29.76997520000441,None,29.76997520000441,None,29.76997520000441,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
33,0.05,0.2511886431509579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.919726250023814,None,0,0.13020480005070567,29.919742800004315,None,29.919742800004315,None,29.919742800004315,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
34,0.05,0.28183829312644526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.069545450009173,None,1,0.3738640999654308,30.069742400024552,None,30.069742400024552,None,30.069742400024552,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
35,0.05,0.2511886431509579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.469169850024628,None,1,0.1392799000022933,30.46924000000581,None,30.46924000000581,None,30.46924000000581,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
36,0.01,0.2238721138568339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.635760550008854,None,0,1.5074884000350721,30.635818200011272,None,30.635818200011272,None,30.635818200011272,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.168165200040676,None,32.168165200040676,None,32.168165200040676,None,e,1,9.128905199992005,32.168165200040676,None,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
