3.5615 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.6529 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.6532 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F9A0B8CCF8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F9A0C065C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.6532 	EXP 	window1: recordFrameIntervals = False
15.8264 	EXP 	window1: recordFrameIntervals = True
15.8796 	WARNING 	t of last frame was 26.60ms (=1/37)
15.9464 	WARNING 	t of last frame was 26.27ms (=1/38)
16.0130 	WARNING 	t of last frame was 26.59ms (=1/37)
16.0799 	WARNING 	t of last frame was 27.06ms (=1/36)
16.1466 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
17.4935 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.6739 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Press space to start\n', units='height', win=Window(...), wrapWidth=1)
18.6976 	EXP 	Sound sound_1 set volume 1.000
18.7148 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
18.7409 	DATA 	Keypress: space
18.7431 	EXP 	text: autoDraw = True
18.7431 	EXP 	text: autoDraw = False
20.4452 	DATA 	Mouse: Left button down, pos=(487,451)
20.6688 	EXP 	Created sequence: random, trialTypes=1, nReps=1000, seed=None
20.6722 	EXP 	New trial (rep=0, index=0): None
20.6808 	DATA 	Keypress: space
20.6810 	DATA 	Mouse:  Left button up, pos=(487,451)
20.6858 	EXP 	text: autoDraw = False
20.6858 	EXP 	text_2: autoDraw = True
23.4802 	EXP 	New trial (rep=1, index=0): None
23.4894 	DATA 	Keypress: u
23.4918 	EXP 	text_2: autoDraw = False
23.4918 	EXP 	text_2: autoDraw = True
24.5558 	DATA 	Keypress: u
24.5861 	EXP 	New trial (rep=2, index=0): None
24.5979 	EXP 	text_2: autoDraw = False
24.5979 	EXP 	text_2: autoDraw = True
25.6655 	EXP 	New trial (rep=3, index=0): None
25.6742 	DATA 	Keypress: u
25.6765 	EXP 	text_2: autoDraw = False
25.6765 	EXP 	text_2: autoDraw = True
25.8527 	EXP 	New trial (rep=4, index=0): None
25.8614 	DATA 	Keypress: u
25.8638 	EXP 	text_2: autoDraw = False
25.8638 	EXP 	text_2: autoDraw = True
26.0413 	EXP 	New trial (rep=5, index=0): None
26.0464 	DATA 	Keypress: u
26.0489 	EXP 	text_2: autoDraw = False
26.0489 	EXP 	text_2: autoDraw = True
26.1879 	EXP 	New trial (rep=6, index=0): None
26.1938 	DATA 	Keypress: u
26.1964 	EXP 	text_2: autoDraw = False
26.1964 	EXP 	text_2: autoDraw = True
26.2903 	DATA 	Keypress: u
26.3223 	EXP 	New trial (rep=7, index=0): None
26.3332 	EXP 	text_2: autoDraw = False
26.3332 	EXP 	text_2: autoDraw = True
26.4524 	DATA 	Keypress: u
26.4950 	EXP 	New trial (rep=8, index=0): None
26.5060 	EXP 	text_2: autoDraw = False
26.5060 	EXP 	text_2: autoDraw = True
26.6033 	EXP 	New trial (rep=9, index=0): None
26.6112 	DATA 	Keypress: u
26.6135 	EXP 	text_2: autoDraw = False
26.6135 	EXP 	text_2: autoDraw = True
26.7359 	EXP 	New trial (rep=10, index=0): None
26.7434 	DATA 	Keypress: u
