trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
95,0,95,0,73.4128725333326,None,d,0.13215869999839924,73.40350399999807,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
96,0,96,0,73.5728374333344,None,u,1.7596344000012323,73.56354889999784,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
97,0,97,0,75.37374353333192,None,u,0.25089680000019143,75.36437300000034,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
98,0,98,0,75.65359673333344,None,u,0.2897993000005954,75.64411779999864,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
99,0,99,0,75.9871351333318,None,u,1.3235242999980983,75.97697619999963,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
100,0,100,0,77.33441713333426,None,u,1.0512087999995856,77.32434410000133,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
101,0,101,0,78.41433013333202,None,u,1.0524048000006587,78.40431220000028,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
102,0,102,0,79.49502073333181,None,u,0.7739970000002359,79.48479410000073,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
103,0,103,0,80.29522873333238,None,u,0.5118571000020893,80.28565549999985,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
104,0,104,0,80.84206663333364,None,u,0.3522670000020298,80.83149559999947,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
105,0,105,0,81.22856533333155,None,u,0.27564970000094036,81.21823849999782,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
106,0,106,0,81.54905833333444,None,u,0.1355753999996523,81.53844609999942,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
107,0,107,0,81.70928623333432,None,u,0.1431708999989496,81.69845910000004,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
108,0,108,0,81.8820804333341,None,u,0.17719899999792688,81.8716299000007,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
109,0,109,0,82.08271233333338,None,u,0.4869779999971797,82.07209729999886,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
110,0,110,0,82.61615183333245,None,u,0.4299061999990954,82.60460740000053,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
111,0,111,0,83.08307543333333,None,u,0.5410149000017554,83.07455850000042,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
112,0,112,0,83.65640303333251,None,d,1.0806316999987757,83.64668270000038,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
113,0,113,0,84.76386083333321,None,d,0.13680249999742955,84.75286499999856,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
114,0,114,0,84.92373483333407,None,d,0.13427320000118925,84.91275079999832,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
115,0,115,0,85.09692023333312,None,d,0.09144319999904837,85.08538229999976,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
116,0,116,0,85.23052993333161,None,d,0.0883097000005364,85.22131770000124,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
117,0,117,0,85.36486103333348,None,d,0.10037350000129663,85.35579669999788,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
118,0,118,0,85.49783773333232,None,d,0.10392260000298847,85.48767059999955,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
119,0,119,0,85.6446228333339,None,d,0.0893605999990541,85.63399529999879,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
120,0,120,0,85.77804663333202,None,d,0.09529449999899953,85.76783459999933,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
121,0,121,0,85.91136433333352,None,d,0.10205619999760529,85.899426699998,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
122,0,122,0,86.0445031333334,None,d,0.09870460000092862,86.03385250000065,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
123,0,123,0,86.17832813333419,None,u,4.064266400000633,86.16818860000058,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
124,0,124,0,90.27176213333271,None,u,0.1909386999977869,90.26182039999912,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
125,0,125,0,90.48651023333198,None,u,0.13720290000128443,90.47673389999909,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
126,0,126,0,90.65970053333197,None,u,0.12637119999999413,90.65091269999903,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
127,0,127,0,90.81915633333168,None,u,0.12243790000138688,90.81015969999862,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
128,0,128,0,90.96621453333185,None,u,0.601357100000314,90.95823549999841,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
129,0,129,0,91.60597013333293,None,u,0.5420210000011139,91.59562069999811,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
130,0,130,0,92.17947273333314,None,u,0.5114644999994198,92.16797339999903,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
131,0,131,0,92.71288413333289,None,u,0.7018086000025505,92.7035493000003,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
132,0,132,0,93.4464264333333,None,u,0.6459959000021627,93.43708010000046,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
133,0,133,0,94.12654383333259,None,u,0.5469458000006853,94.11563039999965,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
134,0,134,0,94.70036163333182,None,d,1.2238620999996783,94.69072460000098,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
135,0,135,0,95.96754503333116,None,d,0.12449759999799426,95.95619649999935,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
136,0,136,0,96.11544473333245,None,d,0.09812229999806732,96.10474410000097,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
137,0,137,0,96.23538513333236,None,d,0.11436329999924055,96.22757450000063,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
138,0,138,0,96.38093013333176,None,d,0.11128520000056596,96.37033289999817,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
139,0,139,0,96.5144217333332,None,d,0.11491430000023684,96.50356570000076,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
140,0,140,0,96.6611084333313,None,d,0.10929110000142828,96.65165450000131,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
141,0,141,0,96.7948024333314,None,d,0.11592790000213427,96.78474859999915,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
142,0,142,0,96.94113093333411,None,d,0.113541399998212,96.93019450000065,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
143,0,143,0,97.1015003333346,None,d,0.08921200000258978,97.09257969999817,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
144,0,144,0,97.23449113333166,None,d,0.10105330000078538,97.22494039999947,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
145,0,145,0,97.36927263333249,None,d,0.10636090000116383,97.36544069999945,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
146,0,146,0,97.51552563333146,None,d,0.08779100000174367,97.50561490000109,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
147,0,147,0,97.6364133333341,None,u,2.9089677999982086,97.62777920000008,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
148,0,148,0,100.58268783333236,None,u,0.11726479999924777,100.5724569999984,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
149,0,149,0,100.72931233333341,None,u,0.1342688000004273,100.71828950000054,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
150,0,150,0,100.88914853333384,None,u,0.13449620000028517,100.8785014999994,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
151,0,151,0,101.06293173333373,None,u,0.9100988999998663,101.05295489999844,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
152,0,152,0,101.99681123333406,None,u,0.5456892000001972,101.98666840000078,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
