key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.3982423999696039,7.928812700032722,None,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1408,headphone_calibration,2020.1.3,60.0529546861915,
,,,,7.928812700032722,None,9.34741040004883,None,space,0,0.7739737000083551,9.34741040004883,None,,,,,,,,,001,2020_Oct_20_1408,headphone_calibration,2020.1.3,60.0529546861915,
,,,,,,,,,,,,,10.146617299993522,None,space,1,0.9473124999785796,10.146617299993522,None,,001,2020_Oct_20_1408,headphone_calibration,2020.1.3,60.0529546861915,
