desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,15.303442600008566,None,15.303442600008566,None,space,1,0.4581599999801256,15.303442600008566,None,,,,,,,,,,,,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
30,0,0,0,0,,,,,,,,,,15.822803599992767,None,15.822803599992767,None,15.83211165999528,None,space,1,2.643839299969841,15.822803599992767,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
35,0,1,1,1,,,,,,,,,,18.49596809997456,None,18.49596809997456,None,18.49602488997625,None,space,1,0.36931989999720827,18.49596809997456,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
40,0,2,2,2,,,,,,,,,,18.89570009999443,None,18.89570009999443,None,18.89574018998537,None,space,1,0.12696019996656105,18.89570009999443,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
45,0,3,3,3,,,,,,,,,,19.045695699984208,None,19.045695699984208,None,19.045548190001863,None,space,1,0.0992965999757871,19.045695699984208,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
50,0,4,4,4,,,,,,,,,,19.16222599998582,None,19.16222599998582,None,19.162368189997505,None,space,1,0.11298830003943294,19.16222599998582,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
55,0,5,5,5,,,,,,,,,,19.295386900019366,None,19.295386900019366,None,19.295321290020365,None,space,1,0.1092557999654673,19.295386900019366,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
60,0,6,6,6,,,,,,,,,,19.428460099967197,None,19.428460099967197,None,19.428594689979217,None,space,1,2.8386460000183433,19.428460099967197,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
65,0,7,7,7,,,,,,,,,,22.2924958000076,None,22.2924958000076,None,22.29253029001411,None,space,1,0.16900289995828643,22.2924958000076,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
70,0,8,8,8,,,,,,,,,,22.492189700016752,None,22.492189700016752,None,22.492334689991548,None,space,1,0.12699140002951026,22.492189700016752,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
75,0,9,9,9,,,,,,,,,,22.64198169996962,None,22.64198169996962,None,22.642227990017272,None,space,1,0.1747365000192076,22.64198169996962,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
80,0,10,10,10,,,,,,,,,,22.84187489998294,None,22.84187489998294,None,22.84154118997976,None,space,1,0.229118799965363,22.84187489998294,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
85,0,11,11,11,,,,,,,,,,23.091693399997894,None,23.091693399997894,None,23.091749689995776,None,space,1,0.4009774000151083,23.091693399997894,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
90,0,12,12,12,,,,,,,,,,23.507909999985714,None,23.507909999985714,None,23.50801809002878,None,space,1,0.1557395999552682,23.507909999985714,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
95,0,13,13,13,,,,,,,,,,23.69095020001987,None,23.69095020001987,None,23.691111990006174,None,space,1,0.12868269998580217,23.69095020001987,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
100,0,14,14,14,,,,,,,,,,23.840839300013613,None,23.840839300013613,None,23.840969789994414,None,space,1,0.15407030005007982,23.840839300013613,None,,,1,2020_Oct_21_0921,headphone_calibration_check,2020.2.4,60.10771300919498,
