trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,space,2.4313926000031643,16.06247030000668,None,,,,0.2,001,2020_Oct_19_1534,temp,2020.1.3,None,
,,,,,,,16.06247030000668,None,,,,,,,,
