3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
28.4702 	EXP 	question_text: autoDraw = False
28.4702 	EXP 	level_text: autoDraw = False
28.4702 	EXP 	level_text: text = 0.009999999999999992
28.4702 	EXP 	question_text: autoDraw = True
28.4702 	EXP 	level_text: autoDraw = True
29.1812 	DATA 	Keypress: down
29.1875 	EXP 	question_text: autoDraw = False
29.1875 	EXP 	level_text: autoDraw = False
29.1875 	EXP 	level_text: text = 0.002511886431509578
29.1875 	EXP 	question_text: autoDraw = True
29.1875 	EXP 	level_text: autoDraw = True
30.0424 	DATA 	Keypress: up
30.0720 	EXP 	question_text: autoDraw = False
30.0720 	EXP 	level_text: autoDraw = False
30.0720 	EXP 	level_text: text = 0.006309573444801928
30.0720 	EXP 	question_text: autoDraw = True
30.0720 	EXP 	level_text: autoDraw = True
30.6983 	DATA 	Keypress: up
30.7058 	EXP 	question_text: autoDraw = False
30.7058 	EXP 	level_text: autoDraw = False
30.7058 	EXP 	level_text: text = 0.015848931924611124
30.7058 	EXP 	question_text: autoDraw = True
30.7058 	EXP 	level_text: autoDraw = True
31.0431 	DATA 	Keypress: down
31.9503 	DATA 	Keypress: down
31.9568 	EXP 	question_text: autoDraw = False
31.9568 	EXP 	level_text: autoDraw = False
31.9568 	EXP 	level_text: text = 0.006309573444801928
31.9568 	EXP 	question_text: autoDraw = True
31.9568 	EXP 	level_text: autoDraw = True
32.9632 	DATA 	Keypress: down
32.9915 	EXP 	question_text: autoDraw = False
32.9915 	EXP 	level_text: autoDraw = False
32.9915 	EXP 	level_text: text = 0.002511886431509578
32.9915 	EXP 	question_text: autoDraw = True
32.9915 	EXP 	level_text: autoDraw = True
34.2188 	DATA 	Keypress: up
34.2262 	EXP 	question_text: autoDraw = False
34.2262 	EXP 	level_text: autoDraw = False
34.2262 	EXP 	level_text: text = 0.0031622776601683772
34.2262 	EXP 	question_text: autoDraw = True
34.2262 	EXP 	level_text: autoDraw = True
35.1378 	DATA 	Keypress: up
35.1438 	EXP 	question_text: autoDraw = False
35.1438 	EXP 	level_text: autoDraw = False
35.1438 	EXP 	level_text: text = 0.00398107170553497
35.1438 	EXP 	question_text: autoDraw = True
35.1438 	EXP 	level_text: autoDraw = True
39.7409 	DATA 	Keypress: up
39.7483 	EXP 	question_text: autoDraw = False
39.7483 	EXP 	level_text: autoDraw = False
39.7483 	EXP 	level_text: text = 0.00501187233627272
39.7483 	EXP 	question_text: autoDraw = True
39.7483 	EXP 	level_text: autoDraw = True
40.9929 	DATA 	Keypress: up
40.9993 	EXP 	question_text: autoDraw = False
40.9993 	EXP 	level_text: autoDraw = False
40.9993 	EXP 	level_text: text = 0.006309573444801929
40.9993 	EXP 	question_text: autoDraw = True
40.9993 	EXP 	level_text: autoDraw = True
42.6950 	DATA 	Keypress: up
42.7011 	EXP 	question_text: autoDraw = False
42.7011 	EXP 	level_text: autoDraw = False
42.7011 	EXP 	level_text: text = 0.007943282347242812
42.7011 	EXP 	question_text: autoDraw = True
42.7011 	EXP 	level_text: autoDraw = True
44.1120 	DATA 	Keypress: down
44.1192 	EXP 	question_text: autoDraw = False
44.1192 	EXP 	level_text: autoDraw = False
44.1192 	EXP 	level_text: text = 0.006309573444801929
44.1192 	EXP 	question_text: autoDraw = True
44.1192 	EXP 	level_text: autoDraw = True
44.9794 	DATA 	Keypress: up
44.9865 	EXP 	question_text: autoDraw = False
44.9865 	EXP 	level_text: autoDraw = False
44.9865 	EXP 	level_text: text = 0.007079457843841375
44.9865 	EXP 	question_text: autoDraw = True
44.9865 	EXP 	level_text: autoDraw = True
62.4974 	DATA 	Keypress: up
