trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,18.04124569997657,None,space,2.3893539999844506,18.04124569997657,None,,,,,,,,,,,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
0,0.8,0.1,,,,,,,20.453744466653248,None,0,3.4988221999956295,20.46338949998608,None,20.46338949998608,None,20.46338949998608,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
1,0.8,0.6309573444801934,,,,,,,23.988040366621377,None,0,3.504800599999726,23.9918733999948,None,23.9918733999948,None,23.9918733999948,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
2,0.8,1,,,,,,,27.52307996666447,None,0,1.336059599998407,27.519276199978776,None,27.519276199978776,None,27.519276199978776,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
3,0.8,1,,,,,,,28.883356666661953,None,0,1.1517925999942236,28.879678699944634,None,28.879678699944634,None,28.879678699944634,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
4,0.8,1,,,,,,,30.07034286664954,None,1,1.5143431999604218,30.067270499945153,None,30.067270499945153,None,30.067270499945153,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
5,0.4,0.15848931924611132,,,,,,,31.60436926666104,None,0,1.5665406999760307,31.60263280000072,None,31.60263280000072,None,31.60263280000072,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
6,0.4,0.39810717055349715,,,,,,,33.191475466654325,None,1,1.451026200025808,33.201925899949856,None,33.201925899949856,None,33.201925899949856,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
7,0.4,0.15848931924611132,,,,,,,34.685424466621285,None,1,0.184938799997326,34.68302989995573,None,34.68302989995573,None,34.68302989995573,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
8,0.4,0.06309573444801932,,,,,,,34.898878366632076,None,1,2.102559899969492,34.89600479998626,None,34.89600479998626,None,34.89600479998626,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
9,0.4,0.025118864315095798,,,,,,,37.03300946666083,None,1,1.081381700001657,37.02975749998586,None,37.02975749998586,None,37.02975749998586,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
10,0.2,0.009999999999999998,,,,,,,38.12702356663455,None,0,0.9307878999970853,38.123460399976466,None,38.123460399976466,None,38.123460399976466,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
11,0.2,0.015848931924611134,,,,,,,39.073888666640656,None,0,1.4292690000147559,39.07055839995155,None,39.07055839995155,None,39.07055839995155,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
12,0.2,0.0251188643150958,,,,,,,40.527479166634535,None,0,0.680074300034903,40.52431709994562,None,40.52431709994562,None,40.52431709994562,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
13,0.2,0.03981071705534973,,,,,,,41.22140466666703,None,0,0.4377896000514738,41.21809289994417,None,41.21809289994417,None,41.21809289994417,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
14,0.2,0.06309573444801933,,,,,,,41.67486706661681,None,0,0.41514279996044934,41.67171269998653,None,41.67171269998653,None,41.67171269998653,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
15,0.2,0.10000000000000002,,,,,,,42.128384866639195,None,0,0.3904587000142783,42.125194099964574,None,42.125194099964574,None,42.125194099964574,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
16,0.2,0.1584893192461114,,,,,,,42.54177626665138,None,0,0.430488099984359,42.538850499957334,None,42.538850499957334,None,42.538850499957334,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
17,0.2,0.2511886431509581,,,,,,,43.008453966646144,None,0,0.37731650000205263,43.00621319998754,None,43.00621319998754,None,43.00621319998754,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
18,0.2,0.3981071705534975,,,,,,,43.408876766629206,None,0,0.3778433999978006,43.405355800001416,None,43.405355800001416,None,43.405355800001416,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
19,0.2,0.6309573444801937,,,,,,,43.80869526666744,None,0,0.41882359998999164,43.80523659999017,None,43.80523659999017,None,43.80523659999017,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
20,0.2,1,,,,,,,44.24860476662094,None,1,1.3325562999816611,44.2587213999941,None,44.2587213999941,None,44.2587213999941,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
21,0.2,0.6309573444801932,,,,,,,45.62261866662108,None,0,1.281293900043238,45.61969459999818,None,45.61969459999818,None,45.61969459999818,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
22,0.2,1.0,,,,,,,46.91651856666819,None,1,1.8520280999946408,46.913065399974585,None,46.913065399974585,None,46.913065399974585,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
23,0.2,0.6309573444801932,,,,,,,48.783963166646814,None,0,1.9301643999642693,48.78065209998749,None,48.78065209998749,None,48.78065209998749,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
24,0.2,1.0,,,,,,,50.731263766651196,None,1,2.536112800007686,50.7279978999868,None,50.7279978999868,None,50.7279978999868,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
25,0.2,0.6309573444801932,,,,,,,53.29229796666574,None,0,0.6413297000108287,53.28891919995658,None,53.28891919995658,None,53.28891919995658,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
26,0.2,1.0,,,,,,,53.94672126666798,None,1,1.0398311000317335,53.9423779999488,None,53.9423779999488,None,53.9423779999488,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
27,0.2,0.6309573444801932,,,,,,,55.01285366662002,None,0,4.0961778000346385,55.01081309997244,None,55.01081309997244,None,55.01081309997244,None,,0.2,001,2020_Oct_19_1513,temp,2020.1.3,None,
