trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.969438000000082,22.250570100033656,None,,,,,,,,,,,,,,001,2020_Oct_19_1640,headphone_calibration,2020.1.3,59.77861586543039,
,,,,,,,22.250570100033656,None,73.8262318600202,None,0,0.18828580004628748,73.82668560004095,None,73.82668560004095,None,73.82668560004095,None,,,,,,,
