key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.0373655000003055,16.7921843000222,None,,,,001,2020_Oct_20_1354,headphone_calibration,2020.1.3,59.97364757408745,
,,,,16.7921843000222,None,,,,,,,
