trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.572821700014174,11.714578100014478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
,,,,,,,11.714578100014478,None,11.714578100014478,None,12.310985500051174,None,space,0,0.4484816000331193,12.310985500051174,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
,,,,,,,,,,,,,,,,,,12.776976000051945,None,space,1,0.4639369999640621,12.776976000051945,None,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
,,,,,,,,,,,,,,,,,,,,,,,,,13.260239900031593,None,space,1,0.6867454000166617,13.260239900031593,None,,,,,,,,,,,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.976187360030599,None,0,0.5638344999752007,13.975711600040086,None,13.975711600040086,None,13.975711600040086,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.575276620034128,None,0,0.43691589997615665,14.563086400041357,None,14.563086400041357,None,14.563086400041357,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.025013760046567,None,0,0.42599970003357157,15.024949400045443,None,15.024949400045443,None,15.024949400045443,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.474532660003751,None,0,0.389709800016135,15.474468400003389,None,15.474468400003389,None,15.474468400003389,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.890783360018395,None,1,1.200748500006739,15.890666400024202,None,15.890666400024202,None,15.890666400024202,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
5,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.106321060005577,None,1,0.12648040003841743,17.106648400018457,None,17.106648400018457,None,17.106648400018457,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
6,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.256101760047024,None,1,0.14794649998657405,17.256094600015786,None,17.256094600015786,None,17.256094600015786,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
7,0.2,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42261336001102,None,0,0.3356406000093557,17.422593800001778,None,17.422593800001778,None,17.422593800001778,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
8,0.2,0.19952623149688803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.788965359993746,None,0,0.18099439999787137,17.788917700003367,None,17.788917700003367,None,17.788917700003367,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
9,0.2,0.31622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98868246000493,None,0,0.1035492000519298,17.9887286000303,None,17.9887286000303,None,17.9887286000303,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
10,0.2,0.5011872336272725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.12251845999854,None,0,0.14177579997340217,18.121899400022812,None,18.121899400022812,None,18.121899400022812,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
11,0.2,0.7943282347242818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2884547600057,None,1,0.5802665000082925,18.288389699999243,None,18.288389699999243,None,18.288389699999243,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
12,0.1,0.5011872336272725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.887820960045794,None,0,0.81298039999092,18.88783230003901,None,18.88783230003901,None,18.88783230003901,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
13,0.1,0.6309573444801935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.720352360012477,None,0,0.3626300999894738,19.72035140002845,None,19.72035140002845,None,19.72035140002845,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
14,0.1,0.7943282347242818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.103337060043124,None,0,0.38062600005650893,20.10327350004809,None,20.10327350004809,None,20.10327350004809,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
15,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.502992960007397,None,0,0.1051990000414662,20.50270700000692,None,20.50270700000692,None,20.50270700000692,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
16,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.635986560047606,None,0,0.16946529998676851,20.63599570002407,None,20.63599570002407,None,20.63599570002407,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
17,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.835805360018277,None,1,0.15824389999033883,20.835879100020975,None,20.835879100020975,None,20.835879100020975,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
18,0.1,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01898576001404,None,1,0.1232437000144273,21.01910480001243,None,21.01910480001243,None,21.01910480001243,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
19,0.1,0.6309573444801932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.168974460009487,None,1,0.12141379999229684,21.16891270002816,None,21.16891270002816,None,21.16891270002816,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
20,0.1,0.5011872336272722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.31882026002277,None,1,0.09105500002624467,21.318822800007183,None,21.318822800007183,None,21.318822800007183,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
21,0.1,0.3981071705534972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.435379260010087,None,1,0.14319009997416288,21.435386700031813,None,21.435386700031813,None,21.435386700031813,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
22,0.05,0.3162277660168379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.602755960042124,None,0,0.10150849999627098,21.602576600038446,None,21.602576600038446,None,21.602576600038446,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
23,0.05,0.35481338923357536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.735084560024553,None,0,0.289093800005503,21.73504270002013,None,21.73504270002013,None,21.73504270002013,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
24,0.05,0.3981071705534971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05152505999431,None,0,0.14898599998559803,22.05233830003999,None,22.05233830003999,None,22.05233830003999,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
25,0.05,0.4466835921509629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21802416003775,None,0,0.13465270004235208,22.21795070002554,None,22.21795070002554,None,22.21795070002554,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
26,0.05,0.501187233627272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38445716004353,None,0,0.29240249999566004,22.384423300041817,None,22.384423300041817,None,22.384423300041817,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
27,0.05,0.5623413251903487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70078616003739,None,0,0.26820890000090003,22.700733200006653,None,22.700733200006653,None,22.700733200006653,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
28,0.05,0.6309573444801928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0004742600373,None,0,0.11735800001770258,23.000497800006997,None,23.000497800006997,None,23.000497800006997,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
29,0.05,0.7079457843841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.133716260048097,None,0,0.24335689999861643,23.13366000005044,None,23.13366000005044,None,23.13366000005044,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
30,0.05,0.7943282347242808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.40009356001392,None,0,0.2955970999901183,23.400107600027695,None,23.400107600027695,None,23.400107600027695,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
31,0.05,0.8912509381337447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.716504859994167,None,0,0.3897389000048861,23.71644810005091,None,23.71644810005091,None,23.71644810005091,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
32,0.05,0.999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.132732860010584,None,1,0.32897510001203045,24.13269020000007,None,24.13269020000007,None,24.13269020000007,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
33,0.05,0.8912509381337447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.482373160042336,None,1,0.3949917000136338,24.48236000002362,None,24.48236000002362,None,24.48236000002362,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
34,0.01,0.7943282347242808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.89862046003109,None,0,0.6533286000485532,24.898597999999765,None,24.898597999999765,None,24.898597999999765,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
35,0.01,0.8128305161640985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.581313160038555,None,0,2.4346339000039734,25.581219000043347,None,25.581219000043347,None,25.581219000043347,None,,001,2020_Oct_20_1543,headphone_calibration,2020.1.3,60.10413642905733,
