trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
525,0,525,0,,,,,,,111.05575483328042,None,u,0.05454619997180998,111.0618008999736,None,111.0618008999736,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
526,0,526,0,,,,,,,111.17747229996603,None,u,0.020503199950326234,111.17040859995177,None,111.17040859995177,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
527,0,527,0,,,,,,,111.22729423328613,None,u,0.03969959996175021,111.22964019997744,None,111.22964019997744,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
528,0,528,0,,,,,,,111.30747003330228,None,u,0.05822509998688474,111.3093781999778,None,111.3093781999778,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
529,0,529,0,,,,,,,111.40092873329607,None,u,0.14040019997628406,111.40181129996199,None,111.40181129996199,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
530,0,530,0,,,,,,,111.58837653330605,None,u,0.1371371999848634,111.59032639994984,None,111.59032639994984,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
531,0,531,0,,,,,,,111.76153843332625,None,u,0.08683589997235686,111.76251719996799,None,111.76251719996799,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
532,0,532,0,,,,,,,111.88203913329247,None,u,0.1817280999966897,111.8838191999821,None,111.8838191999821,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
533,0,533,0,,,,,,,112.10798643332285,None,u,0.13024059997405857,112.11009569995804,None,112.11009569995804,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
534,0,534,0,,,,,,,112.28150453331958,None,u,0.1539218999678269,112.2804636999499,None,112.2804636999499,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
535,0,535,0,,,,,,,112.46786863328501,None,u,0.11262589995749295,112.47088769997936,None,112.47088769997936,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
536,0,536,0,,,,,,,112.62850283331548,None,u,0.41570180002599955,112.63125279999804,None,112.63125279999804,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
537,0,537,0,,,,,,,113.08183313330713,None,u,0.7717932000523433,113.08517039997969,None,113.08517039997969,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
538,0,538,0,,,,,,,113.89544273331606,None,u,0.09465439995983616,113.89521449996391,None,113.89521449996391,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
539,0,539,0,,,,,,,114.02857973328403,None,u,0.10645339998882264,114.03043649997562,None,114.03043649997562,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
540,0,540,0,,,,,,,114.17689513328563,None,u,0.10665149998385459,114.17969069996616,None,114.17969069996616,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
541,0,541,0,,,,,,,114.33690893330689,None,u,0.08818080002674833,114.33882969996193,None,114.33882969996193,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
542,0,542,0,,,,,,,114.47048363328989,None,u,0.10165039997082204,114.47636919998331,None,114.47636919998331,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
543,0,543,0,,,,,,,114.6170629332851,None,u,0.09295920003205538,114.61930769996252,None,114.61930769996252,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
544,0,544,0,,,,,,,114.7487238333056,None,u,0.10934079997241497,114.75539989996469,None,114.75539989996469,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
545,0,545,0,,,,,,,114.89711863332971,None,u,0.11060559999896213,114.9026127999532,None,114.9026127999532,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
