key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.2440473000169732,7.6184855999890715,None,,,,001,2020_Oct_20_1354,headphone_calibration,2020.1.3,60.04812256135198,
,,,,7.6184855999890715,None,,,,,,,
