trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,space,1.1051540999906138,14.712152699998114,None,,,,,,,,,,,,,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
0,0.8,0.1,,,,,14.712152699998114,None,15.858355466629535,None,0,4.049126000027172,15.856230299978051,None,15.856230299978051,None,15.856230299978051,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
1,0.8,0.6309573444801934,,,,,,,19.92648106662479,None,0,1.4936180000077002,19.93169219995616,None,19.93169219995616,None,19.93169219995616,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
2,0.8,1,,,,,,,21.446880966661652,None,1,2.0625915999989957,21.443912099988665,None,21.443912099988665,None,21.443912099988665,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
3,0.4,0.15848931924611132,,,,,,,23.52780316665691,None,0,1.2280038999742828,23.52580649999436,None,23.52580649999436,None,23.52580649999436,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
4,0.4,0.39810717055349715,,,,,,,24.781484766634335,None,0,1.006906499969773,24.778482099995017,None,24.778482099995017,None,24.778482099995017,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
5,0.4,0.9999999999999998,,,,,,,25.80830256664582,None,0,0.9505349000100978,25.805378899967764,None,25.805378899967764,None,25.805378899967764,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
6,0.4,1,,,,,,,26.795574366642782,None,1,1.0649829999892972,26.792299499968067,None,26.792299499968067,None,26.792299499968067,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
7,0.1,0.39810717055349726,,,,,,,27.875985266644662,None,0,1.7796633999678306,27.872623300005216,None,27.872623300005216,None,27.872623300005216,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
8,0.1,0.5011872336272724,,,,,,,29.676521566642137,None,0,1.4172463999711908,29.673317399981897,None,29.673317399981897,None,29.673317399981897,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
