key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.8605812999885529,7.364416900032666,None,,,,,,,,,,,001,2020_Oct_20_1405,headphone_calibration,2020.1.3,60.15685298228147,
,,,,7.364416900032666,None,8.245765100000426,None,space,0,14.038138900010381,8.245765100000426,None,,001,2020_Oct_20_1405,headphone_calibration,2020.1.3,60.15685298228147,
