key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.1010853999760002,47.36371370003326,None,,,,001,2020_Oct_20_1356,headphone_calibration,2020.1.3,60.01406730668023,
,,,,47.36371370003326,None,,,,,,,
