trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,24.316886499989778,24.316886499989778,space,2.4138641000026837,24.316886499989778,None,,,,,,,,,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
0,0.8,0.5,,,,,,,26.757260766640925,None,0,0.5379120000288822,26.759358900017105,None,26.759358900017105,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
1,0.8,1,,,,,,,27.31740016665232,None,0,11.699593199999072,27.314569199981634,None,27.314569199981634,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
2,0.8,1,,,,,,,39.03102346667244,None,0,1.0727178000379354,39.02664409996942,None,39.02664409996942,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
3,0.8,1,,,,,,,40.12484386668463,None,0,1.038546400028281,40.11913910001749,None,40.11913910001749,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
4,0.8,1,,,,,,,41.17684846668659,None,0,0.8387298000161536,41.17558989999816,None,41.17558989999816,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
5,0.8,1,,,,,,,42.046094266643436,None,0,0.12991279998095706,42.04342699999688,None,42.04342699999688,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
6,0.8,1,,,,,,,42.19222146668859,None,0,0.1529005000484176,42.18805350002367,None,42.18805350002367,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
7,0.8,1,,,,,,,42.379121466660095,None,0,0.1062219999730587,42.37539190001553,None,42.37539190001553,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
8,0.8,1,,,,,,,42.51281606668296,None,1,3.6778017000178806,42.506571599980816,None,42.506571599980816,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
9,0.8,0.15848931924611132,,,,,,,46.22108233330849,None,1,0.9086536999675445,46.21278240001993,None,46.21278240001993,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
10,0.8,0.02511886431509579,,,,,,,47.14026886667513,None,1,1.0068196000065655,47.137348799966276,None,47.137348799966276,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
11,0.4,0.00398107170553497,,,,,,,48.16505036666446,None,0,1.7698693000129424,48.1615305999876,None,48.1615305999876,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
12,0.4,0.009999999999999993,,,,,,,49.95263496664508,None,0,0.20587820000946522,49.948931799968705,None,49.948931799968705,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
13,0.4,0.025118864315095784,,,,,,,50.1792879666357,None,0,0.14110050001181662,50.17599489999702,None,50.17599489999702,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
14,0.4,0.06309573444801929,,,,,,,50.352360266672136,None,0,0.11873530002776533,50.34990779997315,None,50.34990779997315,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
15,0.4,0.15848931924611126,,,,,,,50.48612996668477,None,0,0.11983989999862388,50.482672000012826,None,50.482672000012826,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
16,0.4,0.39810717055349704,,,,,,,50.61971576663588,None,0,0.13726170000154525,50.615820900013205,None,50.615820900013205,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
17,0.4,0.9999999999999994,,,,,,,50.779571966679455,None,0,0.13024649996077642,50.775717100012116,None,50.775717100012116,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
18,0.4,1,,,,,,,50.9259493666507,None,1,0.8047843999811448,50.936556299973745,None,50.936556299973745,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
19,0.4,0.39810717055349726,,,,,,,51.76647776668348,None,1,0.16285789996618405,51.76309740002034,None,51.76309740002034,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
20,0.4,0.15848931924611134,,,,,,,51.96678966668357,None,1,0.10836579999886453,51.96288750000531,None,51.96288750000531,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
21,0.4,0.06309573444801932,,,,,,,52.09974676667868,None,1,0.1151401000097394,52.09642850002274,None,52.09642850002274,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
22,0.4,0.025118864315095798,,,,,,,52.23321546666945,None,1,0.1247946000075899,52.230108299991116,None,52.230108299991116,None,,0.2,001,2020_Oct_19_1349,temp,2020.1.3,None,
