trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,29.231918899982702,None,space,3.8676516999839805,29.231918899982702,None,,,,,,,,,,,,0.2,001,2020_Oct_19_1407,temp,2020.1.3,60.15985677704577,
0,0.8,0.5,,,,,,,33.12707510997425,None,1,3.0570870999945328,33.12702959997114,None,33.12702959997114,None,33.12702959997114,None,,0.2,001,2020_Oct_19_1407,temp,2020.1.3,60.15985677704577,
