trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,press_space.started,press_space.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,5.141295899997203,14.746886600001744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
,,,,,,,14.746886600001744,None,14.746886600001744,None,19.917226000001392,None,space,0,4.329418499997701,19.917226000001392,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
,,,,,,,,,,,,,,,,,,24.27135780000026,None,space,1,0.3595461999975669,24.27135780000026,None,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
,,,,,,,,,,,,,,,,,,,,,,,,,24.654858600002626,None,space,1,0.5475321000012627,24.654858600002626,None,,,,,,,,,,,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22205888000135,None,0,13.045380699997622,25.222462699999596,None,25.222462699999596,None,25.222462699999596,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.30208506000126,None,0,0.8651628000006895,38.29214540000248,None,38.29214540000248,None,38.29214540000248,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.18629768000064,None,0,0.6331497999999556,39.186398500001815,None,39.186398500001815,None,39.186398500001815,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.837084780000076,None,1,1.7471622000011848,39.83704159999979,None,39.83704159999979,None,39.83704159999979,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
4,0.2,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.60507158000146,None,0,0.8455763000019942,41.60537430000113,None,41.60537430000113,None,41.60537430000113,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
5,0.2,0.6309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.47298288000129,None,0,0.6473340000011376,42.4729757999994,None,42.4729757999994,None,42.4729757999994,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
6,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.13995448000096,None,1,1.1215340999988257,43.1400493000001,None,43.1400493000001,None,43.1400493000001,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
7,0.1,0.6309573444801932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.29134068000021,None,0,0.9866916999999376,44.29139260000011,None,44.29139260000011,None,44.29139260000011,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
8,0.1,0.7943282347242816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.30887868000027,None,0,14.256363899999997,45.308991900001274,None,45.308991900001274,None,45.308991900001274,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
9,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58964038000013,None,0,0.8708535000005213,59.589738400001806,None,59.589738400001806,None,59.589738400001806,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
10,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.490630680000685,None,0,0.7116208000006736,60.49083330000212,None,60.49083330000212,None,60.49083330000212,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
11,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.224746680000315,None,0,0.2101145999986329,61.22484330000225,None,61.22484330000225,None,61.22484330000225,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
12,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.45838078000124,None,0,0.1508496999995259,61.4584199000019,None,61.4584199000019,None,61.4584199000019,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
13,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.625082279999695,None,0,0.1448577999981353,61.625316000001476,None,61.625316000001476,None,61.625316000001476,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
14,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.79183958000103,None,0,0.1287609999999404,61.79204200000095,None,61.79204200000095,None,61.79204200000095,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
15,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.942279480001524,None,0,0.10450510000009672,61.942248300001665,None,61.942248300001665,None,61.942248300001665,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
16,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.07561208000006,None,0,0.12207209999905899,62.07578160000048,None,62.07578160000048,None,62.07578160000048,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
17,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.225867780002226,None,0,0.11766089999946416,62.22606440000163,None,62.22606440000163,None,62.22606440000163,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
18,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.359272980000604,None,0,0.13762759999735863,62.35902890000216,None,62.35902890000216,None,62.35902890000216,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
19,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.52594917999922,None,0,0.12094140000044717,62.52646800000002,None,62.52646800000002,None,62.52646800000002,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
20,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.676287180002326,None,0,0.09949830000186921,62.67659360000107,None,62.67659360000107,None,62.67659360000107,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
21,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79344367999911,None,0,0.1275084999979299,62.793014400001994,None,62.793014400001994,None,62.793014400001994,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
22,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.94345378000107,None,0,0.12388360000113607,62.9432893000012,None,62.9432893000012,None,62.9432893000012,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
23,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.093408780001845,None,1,1.3228204000006372,63.09350190000259,None,63.09350190000259,None,63.09350190000259,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
24,0.05,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.44455677999977,None,0,2.5522133000013127,64.44492890000038,None,64.44492890000038,None,64.44492890000038,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
25,0.05,0.8912509381337455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0141287800001,None,0,1.3511553000025742,67.0140293000004,None,67.0140293000004,None,67.0140293000004,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
26,0.05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.38229168000217,None,1,0.3183002000005217,68.38203730000168,None,68.38203730000168,None,68.38203730000168,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
27,0.05,0.8912509381337455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71553258000168,None,1,0.1551106000006257,68.71563819999938,None,68.71563819999938,None,68.71563819999938,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
28,0.01,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.89912248000147,None,0,0.5841180999996141,68.8991769000022,None,68.8991769000022,None,68.8991769000022,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
29,0.01,0.8128305161640992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49957828000007,None,0,1.4766438999977254,69.49964470000123,None,69.49964470000123,None,69.49964470000123,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
30,0.01,0.831763771102671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.00115247999966,None,0,0.46159049999914714,71.00130770000032,None,71.00130770000032,None,71.00130770000032,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
31,0.01,0.8511380382023764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4850028799996,None,0,0.359631300001638,71.4851333000006,None,71.4851333000006,None,71.4851333000006,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
32,0.01,0.8709635899560806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.86882988000107,None,0,0.3830770000022312,71.86886120000054,None,71.86886120000054,None,71.86886120000054,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
33,0.01,0.8912509381337455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2693752800009,None,0,1.5083881999998994,72.26929250000103,None,72.26929250000103,None,72.26929250000103,None,,001,2020_Nov_02_1654,headphone_calibration,2020.2.4,60.04754564736049,
