trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,10.882240400009323,15.049308699963149,None,,,,,,,,,,,,,,001,2020_Oct_20_1350,headphone_calibration,2020.1.3,60.061575120214684,
,,,,,,,15.049308699963149,None,38.46263423995697,None,1,0.9165037000202574,38.46220769995125,None,38.46220769995125,None,38.46220769995125,None,,,,,,,
