desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,9.6869177999979,None,9.6869177999979,None,space,1,0.9865053000030457,9.6869177999979,None,,,,,,,,,,,,,,0.8912509381337451,2020_Nov_02_1705,headphone_calibration_check,2020.2.4,59.883179892418894,
60,0,0,0,0,,,,,,,,,,10.762686300000496,None,10.762686300000496,None,10.768610149998494,None,space,1,1.7470169000007445,10.762686300000496,None,,,0.8912509381337451,2020_Nov_02_1705,headphone_calibration_check,2020.2.4,59.883179892418894,
65,0,1,1,1,,,,,,,,,,12.562187399998948,None,12.562187399998948,None,12.571077370000785,None,space,1,1.116516000001866,12.562187399998948,None,,,0.8912509381337451,2020_Nov_02_1705,headphone_calibration_check,2020.2.4,59.883179892418894,
70,0,2,2,2,,,,,,,,,,13.72356420000142,None,13.72356420000142,None,13.722498580000682,None,space,1,1.4664606000005733,13.72356420000142,None,,,0.8912509381337451,2020_Nov_02_1705,headphone_calibration_check,2020.2.4,59.883179892418894,
