trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,,60.05218069994589,60.05218069994589,space,0.41164359997492284,60.05218069994589,None,,,,,,,,,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
0,0,0,0,,,,,,,60.50557973329754,None,u,4.081070200016256,60.504171499982476,None,60.504171499982476,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
1,0,1,0,,,,,,,64.62674143329107,None,u,0.10743010003352538,64.62802629999351,None,64.62802629999351,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
2,0,2,0,,,,,,,64.77363383328387,None,u,0.09763549995841458,64.7767830999801,None,64.7767830999801,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
3,0,3,0,,,,,,,64.90698783333258,None,u,0.10708250000607222,64.90927469998132,None,64.90927469998132,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
4,0,4,0,,,,,,,65.05360143329793,None,u,0.10205589997349307,65.0556470999727,None,65.0556470999727,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
5,0,5,0,,,,,,,65.21359053330573,None,u,0.09265740000410005,65.21323639998445,None,65.21323639998445,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
6,0,6,0,,,,,,,65.34720153333231,None,u,0.10603540000738576,65.34834059997229,None,65.34834059997229,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
7,0,7,0,,,,,,,65.49376243330383,None,u,0.10827719996450469,65.49542449996807,None,65.49542449996807,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
8,0,8,0,,,,,,,65.64076683333454,None,u,0.09921820001909509,65.64229309995426,None,65.64229309995426,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
9,0,9,0,,,,,,,65.7915054999874,None,u,0.10062500002095476,65.78759839996928,None,65.78759839996928,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
10,0,10,0,,,,,,,65.92107863329196,None,u,0.11759400001028553,65.92714309995063,None,65.92714309995063,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
11,0,11,0,,,,,,,66.09429413331284,None,u,0.09622289997059852,66.09799239999847,None,66.09799239999847,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
12,0,12,0,,,,,,,66.22779453331216,None,u,0.11422390001825988,66.2317633999628,None,66.2317633999628,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
13,0,13,0,,,,,,,66.42112896662826,None,u,0.08195109997177497,66.41741199995158,None,66.41741199995158,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
14,0,14,0,,,,,,,66.5356997333079,None,u,0.08680289995390922,66.54488349996973,None,66.54488349996973,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
15,0,15,0,,,,,,,66.6678157333013,None,u,0.1027157999924384,66.67523269995581,None,66.67523269995581,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
16,0,16,0,,,,,,,66.82833953330604,None,u,0.08551860001171008,66.83460799994646,None,66.83460799994646,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
17,0,17,0,,,,,,,66.96278233332171,None,u,0.10516809998080134,66.96705709997332,None,66.96705709997332,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
18,0,18,0,,,,,,,67.12736279995879,None,u,0.07941360003314912,67.12995679996675,None,67.12995679996675,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
19,0,19,0,,,,,,,67.2545035333101,None,u,0.09355190000496805,67.26221199997235,None,67.26221199997235,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
20,0,20,0,,,,,,,67.38797593332905,None,u,0.11495660000946373,67.39465019997442,None,67.39465019997442,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
21,0,21,0,,,,,,,67.56178903330195,None,u,0.09696570003870875,67.56865879998077,None,67.56865879998077,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
22,0,22,0,,,,,,,67.71002013330192,None,u,0.11295869998866692,67.71393709996482,None,67.71393709996482,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
23,0,23,0,,,,,,,67.86847063329381,None,u,0.1061786999925971,67.87159589998191,None,67.87159589998191,None,,0.2,001,2020_Oct_19_1328,temp,2020.1.3,None,
