trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.6586998999700882,30.829337699979078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
,,,,,,,30.829337699979078,None,31.51173079997534,None,space,0,0.38425180001650006,31.51173079997534,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
,,,,,,,,,,,,,,,,31.911377399985213,None,space,1,0.3503673000377603,31.911377399985213,None,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
,,,,,,,,,,,,,,,,,,,,,,,32.27774949994637,None,space,1,0.6581635000184178,32.27774949994637,None,,,,,,,,,,,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.96050142996246,None,0,0.6034449999569915,32.96085819997825,None,32.96085819997825,None,32.96085819997825,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60913505996578,None,0,0.25060249998932704,33.60226249997504,None,33.60226249997504,None,33.60226249997504,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.87581832996803,None,0,0.12495939998188987,33.876002999953926,None,33.876002999953926,None,33.876002999953926,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02551772997249,None,0,0.11198620003415272,34.025735099974554,None,34.025735099974554,None,34.025735099974554,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.158958829985934,None,0,0.1255403999821283,34.15886489994591,None,34.15886489994591,None,34.15886489994591,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
5,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.30859992995393,None,0,0.15571039996575564,34.308675099979155,None,34.308675099979155,None,34.308675099979155,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
6,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.491457129991616,None,1,0.19163469999330118,34.491806599951815,None,34.491806599951815,None,34.491806599951815,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
7,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.70824632996228,None,1,0.10906759998761117,34.70835629996145,None,34.70835629996145,None,34.70835629996145,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
8,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.84149002998602,None,1,0.11615099996561185,34.84187699999893,None,34.84187699999893,None,34.84187699999893,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
9,0.3,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97479972998845,None,1,0.12606370000867173,34.97461359994486,None,34.97461359994486,None,34.97461359994486,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
10,0.3,0.06309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.12460972996196,None,1,0.10660579998511821,35.124668599979486,None,35.124668599979486,None,35.124668599979486,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
11,0.3,0.031622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.25768522998551,None,1,0.12129929999355227,35.257808799971826,None,35.257808799971826,None,35.257808799971826,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
12,0.3,0.01584893192461114,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4076963299769,None,1,0.14125990000320598,35.40767289994983,None,35.40767289994983,None,35.40767289994983,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
13,0.2,0.007943282347242819,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.57420362996636,None,0,0.33699099998921156,35.57419419998769,None,35.57419419998769,None,35.57419419998769,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
14,0.2,0.01258925411794168,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.94044282996329,None,0,0.9295550999813713,35.9404173999792,None,35.9404173999792,None,35.9404173999792,None,,001,2020_Oct_20_1452,headphone_calibration,2020.1.3,60.0501058193161,
