trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.8754264999879524,20.904696999990847,None,,,,,,,,,,,,,,001,2020_Oct_19_1628,headphone_calibration,2020.1.3,59.977784234116164,
,,,,,,,20.904696999990847,None,140.83227389999666,None,1,0.5290303000365384,140.83252249995712,None,140.83252249995712,None,140.83252249995712,None,,,,,,,
