trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,input,session,date,expName,psychopyVersion,frameRate,
40,0,40,0,,,,,,,134.29096126668546,None,u,134.28789289999986,None,0.08548700000392273,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
41,0,41,0,,,,,,,134.43404800003628,None,u,134.42694839998148,None,0.10710600001038983,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
42,0,42,0,,,,,,,134.57701043331377,None,u,134.5789149000193,None,0.11931019998155534,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
43,0,43,0,,,,,,,134.73717253335832,None,u,134.73660559998825,None,0.13173729996196926,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
44,0,44,0,,,,,,,134.91070563335285,None,u,134.90877919999184,None,0.12149709998629987,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
45,0,45,0,,,,,,,135.07104973332804,None,u,135.06817240000237,None,0.12277009995887056,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
46,0,46,0,,,,,,,135.24455803336656,None,u,135.24251020001248,None,0.10349410003982484,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
47,0,47,0,,,,,,,135.39056533331365,None,u,135.39044069999363,None,0.11650820000795648,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
48,0,48,0,,,,,,,135.55075723335227,None,u,135.5461669000215,None,0.12242369999876246,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
49,0,49,0,,,,,,,135.7240719333136,None,u,135.71997340000235,None,0.11076129996217787,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
50,0,50,0,,,,,,,135.88883670001525,None,u,135.88925240002573,None,0.10390469996491447,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
51,0,51,0,,,,,,,136.0306621333662,None,u,136.0341855000006,None,0.12419050000607967,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
52,0,52,0,,,,,,,136.20780919999817,None,u,136.20094870001776,None,0.11795450001955032,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
53,0,53,0,,,,,,,136.3642506333495,None,u,136.36287750001065,None,0.11669440002879128,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
54,0,54,0,,,,,,,136.524537033351,None,u,136.52221000002464,None,0.11917910003103316,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
55,0,55,0,,,,,,,136.6849657333301,None,u,136.6800672999816,None,0.12359239999204874,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
56,0,56,0,,,,,,,136.85779813334426,None,u,136.85188450000715,None,0.11352769995573908,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
57,0,57,0,,,,,,,137.0044498333669,None,u,136.99856500001624,None,0.1320729000144638,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
58,0,58,0,,,,,,,137.1645033333412,None,u,137.15940479998244,None,0.13820250000571832,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
59,0,59,0,,,,,,,137.33788213332497,None,u,137.33025990001624,None,0.1257138000219129,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
60,0,60,0,,,,,,,137.4978874333397,None,u,137.4922431000159,None,0.11309770005755126,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
