desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,16.19010479998542,None,16.19010479998542,None,space,1,4.998799699998926,16.19010479998542,None,,,,,,,,,,,,,001,2020_Oct_20_1724,headphone_calibration_check,2020.2.4,59.89555413925702,
30,0,0,0,0,,,,,,,,,,21.267397599993274,None,21.267397599993274,None,21.264326379995328,None,space,1,3.700905999983661,21.267397599993274,None,,001,2020_Oct_20_1724,headphone_calibration_check,2020.2.4,59.89555413925702,
35,0,1,1,1,,,,,,,,,,24.98494239995489,None,24.98494239995489,None,24.984731919993646,None,space,1,1.4041461999877356,24.98494239995489,None,,001,2020_Oct_20_1724,headphone_calibration_check,2020.2.4,59.89555413925702,
