trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,1.7331703000236303,19.247468599991407,None,,,,,,,,,,,,,,001,2020_Oct_19_1700,headphone_calibration,2020.1.3,60.00045599296784,
,,,,,,,19.247468599991407,None,462.4748079100391,None,0,0.1263852000120096,462.47866319998866,None,462.47866319998866,None,462.47866319998866,None,,,,,,,
