trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
1,0.8,0.6309573444801934,,,,,,,68.03495507002226,None,0,2.1141414999729022,68.03832970000803,None,68.03832970000803,None,68.03832970000803,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
2,0.8,1,,,,,,,70.18282336999546,None,1,1.879908400005661,70.183005400002,None,70.183005400002,None,70.183005400002,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
3,0.4,0.15848931924611132,,,,,,,72.08097856999957,None,0,0.8276273999945261,72.08085480000591,None,72.08085480000591,None,72.08085480000591,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
4,0.4,0.39810717055349715,,,,,,,72.93020447001909,None,0,0.42352770001161844,72.93010719999438,None,72.93010719999438,None,72.93010719999438,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
5,0.4,0.9999999999999998,,,,,,,73.37970767003135,None,0,0.3264437000034377,73.37963290000334,None,73.37963290000334,None,73.37963290000334,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
6,0.4,1,,,,,,,73.7294281700335,None,1,0.3381749000400305,73.72900910000317,None,73.72900910000317,None,73.72900910000317,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
7,0.4,0.39810717055349726,,,,,,,74.09557267000783,None,1,0.17752710002241656,74.0958343000384,None,74.0958343000384,None,74.0958343000384,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
8,0.4,0.15848931924611134,,,,,,,74.29568446999765,None,1,0.14227650000248104,74.2954902999918,None,74.2954902999918,None,74.2954902999918,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
9,0.4,0.06309573444801932,,,,,,,74.46227137001115,None,1,0.1243792999885045,74.46191310003633,None,74.46191310003633,None,74.46191310003633,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
10,0.2,0.025118864315095798,,,,,,,74.61214957003831,None,0,0.15663690003566444,74.61184560001129,None,74.61184560001129,None,74.61184560001129,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
11,0.2,0.03981071705534972,,,,,,,74.79532127002604,None,0,0.13142610003706068,74.79492610000307,None,74.79492610000307,None,74.79492610000307,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
12,0.2,0.06309573444801932,,,,,,,74.94485436998657,None,0,0.12209880002774298,74.94485329999588,None,74.94485329999588,None,74.94485329999588,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
13,0.2,0.09999999999999999,,,,,,,75.09486427002703,None,1,0.05895620002411306,75.09486630000174,None,75.09486630000174,None,75.09486630000174,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
14,0.2,0.06309573444801932,,,,,,,75.1782078700082,None,0,0.07342660002177581,75.177846400009,None,75.177846400009,None,75.177846400009,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
15,0.2,0.09999999999999999,,,,,,,75.27790527000907,None,1,0.0634188000112772,75.2777536000358,None,75.2777536000358,None,75.2777536000358,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
16,0.2,0.06309573444801932,,,,,,,75.36142047001631,None,0,0.06269190000602975,75.3610636999947,None,75.3610636999947,None,75.3610636999947,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
17,0.2,0.09999999999999999,,,,,,,75.4448690700403,None,1,0.07866539998212829,75.44438930001343,None,75.44438930001343,None,75.44438930001343,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
18,0.2,0.06309573444801932,,,,,,,75.5446072700026,None,0,0.040344799985177815,75.54411020001862,None,75.54411020001862,None,75.54411020001862,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
19,0.2,0.09999999999999999,,,,,,,75.61092267000932,None,1,0.07927779998863116,75.61092549999012,None,75.61092549999012,None,75.61092549999012,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
20,0.2,0.06309573444801932,,,,,,,75.71070497001638,None,0,0.035236200026702136,75.71076919999905,None,75.71076919999905,None,75.71076919999905,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
21,0.2,0.09999999999999999,,,,,,,75.77758327000193,None,1,0.07944220001809299,75.77718550001737,None,75.77718550001737,None,75.77718550001737,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
22,0.2,0.06309573444801932,,,,,,,75.87733976998716,None,0,0.03103369998279959,75.8772592000314,None,75.8772592000314,None,75.8772592000314,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
23,0.2,0.09999999999999999,,,,,,,75.9273315700295,None,0,0.13490840001031756,75.92716240003938,None,75.92716240003938,None,75.92716240003938,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
24,0.2,0.15848931924611134,,,,,,,76.07720196999726,None,1,0.388840599975083,76.0769346000161,None,76.0769346000161,None,76.0769346000161,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
25,0.2,0.09999999999999999,,,,,,,76.49341936999117,None,1,0.18585830001393333,76.49348860001191,None,76.49348860001191,None,76.49348860001191,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
26,0.2,0.06309573444801932,,,,,,,76.70995467000758,None,1,0.1705388999544084,76.70985600003041,None,76.70985600003041,None,76.70985600003041,None,,0.2,001,2020_Oct_19_1440,temp,2020.1.3,60.067347505375984,
