trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,space,0.982709200005047,23.678241299989168,None,,,,,,,,,,,,,,0.2,001,2020_Oct_19_1546,headphone_calibration,2020.1.3,None,
,,,,,,,23.678241299989168,None,90.23995226668582,None,1,0.4180332999676466,90.23684000002686,None,90.23684000002686,None,90.23684000002686,None,,,,,,,,
