desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,29.664763399981894,None,29.664763399981894,None,space,1,0.9223398999893107,29.664763399981894,None,,,,,,,,,,,,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
30,0,0,0,0,,,,,,,,,,30.6812321000034,None,30.6812321000034,None,30.689648399990983,None,space,1,1.9315443999948911,30.6812321000034,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
35,0,1,1,1,,,,,,,,,,32.63751889998093,None,32.63751889998093,None,32.63727314996068,None,space,1,0.12855129997478798,32.63751889998093,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
40,0,2,2,2,,,,,,,,,,32.787501299986616,None,32.787501299986616,None,32.7871175499633,None,space,1,0.1277680000057444,32.787501299986616,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
45,0,3,3,3,,,,,,,,,,32.93714789999649,None,32.93714789999649,None,32.937167250015776,None,space,1,0.10621469997568056,32.93714789999649,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
50,0,4,4,4,,,,,,,,,,33.07028220000211,None,33.07028220000211,None,33.07056765001035,None,space,1,0.10263390000909567,33.07028220000211,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
55,0,5,5,5,,,,,,,,,,33.20375469996361,None,33.20375469996361,None,33.20378585001454,None,space,1,0.10792710003443062,33.20375469996361,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
60,0,6,6,6,,,,,,,,,,33.33668189996388,None,33.33668189996388,None,33.33684975000797,None,space,1,0.1952259999816306,33.33668189996388,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
65,0,7,7,7,,,,,,,,,,33.55345969996415,None,33.55345969996415,None,33.55342574998504,None,space,1,0.12975540000479668,33.55345969996415,None,,,1,2020_Oct_21_0915,headphone_calibration_check,2020.2.4,60.063487113824365,
