press_space.startedautopress_space.stoppedautotitle_text.startedautotitle_text.stoppedautokey_resp.keysautokey_resp.corrautokey_resp.rtautokey_resp.startedautokey_resp.stoppedautoparticipantautosessionautodateautoexpNameautopsychopyVersionautoframeRateauto
56.91462470003171autoNoneauto56.91462470003171autoNoneautospaceauto1auto2.265339399978984auto56.91462470003171autoNoneautoauto001auto2020_Oct_20_1711autoheadphone_calibration_checkauto2020.2.4auto60.13760687672204auto
uto
