desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,11.194758399999955,None,11.194758399999955,None,space,1,0.7059851999999864,11.194758399999955,None,,,,,,,,,,,,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
30,0,0,0,0,,,,,,,,,,11.959998499999983,None,11.959998499999983,None,11.966526760000034,None,space,1,8.435927499999934,11.959998499999983,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
35,0,1,1,1,,,,,,,,,,20.426545100000112,None,20.426545100000112,None,20.425125939999976,None,space,1,0.285164899999927,20.426545100000112,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
40,0,2,2,2,,,,,,,,,,20.742164400000092,None,20.742164400000092,None,20.74207934000008,None,space,1,0.1103390999999192,20.742164400000092,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
45,0,3,3,3,,,,,,,,,,20.875687499999913,None,20.875687499999913,None,20.87574304000002,None,space,1,0.10609080000017457,20.875687499999913,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
50,0,4,4,4,,,,,,,,,,21.009257500000103,None,21.009257500000103,None,21.00925894000004,None,space,1,0.10968519999983073,21.009257500000103,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
55,0,5,5,5,,,,,,,,,,21.142486199999894,None,21.142486199999894,None,21.142485439999906,None,space,1,0.13112469999987297,21.142486199999894,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
60,0,6,6,6,,,,,,,,,,21.292649600000004,None,21.292649600000004,None,21.292659740000023,None,space,1,0.10118089999991753,21.292649600000004,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
65,0,7,7,7,,,,,,,,,,21.409342500000093,None,21.409342500000093,None,21.409929639999906,None,space,1,0.18804709999994884,21.409342500000093,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
70,0,8,8,8,,,,,,,,,,21.626228399999945,None,21.626228399999945,None,21.62625253999993,None,space,1,0.2953632999999627,21.626228399999945,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
75,0,9,9,9,,,,,,,,,,21.94343640000011,None,21.94343640000011,None,21.943418739999903,None,space,1,0.29319230000010066,21.94343640000011,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
80,0,10,10,10,,,,,,,,,,22.260227400000076,None,22.260227400000076,None,22.260208339999895,None,space,1,0.3311432999998942,22.260227400000076,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
85,0,11,11,11,,,,,,,,,,22.61076460000004,None,22.61076460000004,None,22.61064064000009,None,space,1,0.47428080000008777,22.61076460000004,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
90,0,12,12,12,,,,,,,,,,23.111078299999917,None,23.111078299999917,None,23.111611640000024,None,space,1,0.52035839999985,23.111078299999917,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
95,0,13,13,13,,,,,,,,,,23.661775699999907,None,23.661775699999907,None,23.661991039999908,None,space,1,1.0157080999999835,23.661775699999907,None,,,1,2020_Nov_02_1207,headphone_calibration_check,2020.2.4,59.99854803515895,
