key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,title_text.started,title_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,5.395628300029784,13.879522299976088,None,,,,,,001,2020_Oct_20_1530,headphone_calibration,2020.1.3,60.1334481421908,
,,,,13.879522299976088,None,13.879522299976088,None,,,,,,,
