desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,16.70204930001637,None,16.70204930001637,None,space,1,1.528201800014358,16.70204930001637,None,,,,,,,,,,,,,001,2020_Oct_20_1725,headphone_calibration_check,2020.2.4,59.96929572415742,
30,0,0,0,0,,,,,,,,,,18.332016000000294,None,18.332016000000294,None,18.34313816006761,None,space,1,2.7727641999954358,18.332016000000294,None,,001,2020_Oct_20_1725,headphone_calibration_check,2020.2.4,59.96929572415742,
35,0,1,1,1,,,,,,,,,,21.12907580001047,None,21.12907580001047,None,21.12906116002705,None,space,1,1.0329851999995299,21.12907580001047,None,,001,2020_Oct_20_1725,headphone_calibration_check,2020.2.4,59.96929572415742,
