4.5758 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
19.1776 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A94F384240>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A94F3D8AC8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.1777 	EXP 	window1: recordFrameIntervals = False
19.3441 	EXP 	window1: recordFrameIntervals = True
19.5281 	EXP 	window1: recordFrameIntervals = False
19.8579 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0. , 0.5]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
19.8826 	EXP 	Sound sound_1 set volume 1.000
19.8998 	EXP 	Created question_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='question_text', opacity=1.0, ori=0, pos=array([0. , 0.2]), rgb=array([255., 255., 255.]), text="'Does your db SPL meter read 113 db SPL?'", units='height', win=Window(...), wrapWidth=1)
19.9052 	EXP 	Created level_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='level_text', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
19.9360 	EXP 	text: autoDraw = True
21.1001 	DATA 	Mouse: Left button down, pos=(480,379)
21.3006 	DATA 	Mouse:  Left button up, pos=(480,379)
21.3159 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (11).
21.3232 	DATA 	Keypress: space
21.3293 	EXP 	text: autoDraw = False
21.3293 	EXP 	level_text: text = 0.1
21.3293 	EXP 	question_text: autoDraw = True
21.3293 	EXP 	level_text: autoDraw = True
23.6698 	DATA 	Keypress: up
23.7008 	EXP 	question_text: autoDraw = False
23.7008 	EXP 	level_text: autoDraw = False
23.7008 	EXP 	level_text: text = 0.6309573444801934
23.7008 	EXP 	question_text: autoDraw = True
23.7008 	EXP 	level_text: autoDraw = True
25.7074 	DATA 	Keypress: up
25.7169 	EXP 	question_text: autoDraw = False
25.7169 	EXP 	level_text: autoDraw = False
25.7169 	EXP 	level_text: text = 1
25.7169 	EXP 	question_text: autoDraw = True
25.7169 	EXP 	level_text: autoDraw = True
25.9054 	DATA 	Keypress: up
25.9339 	EXP 	question_text: autoDraw = False
25.9339 	EXP 	level_text: autoDraw = False
25.9339 	EXP 	level_text: text = 1
25.9339 	EXP 	question_text: autoDraw = True
25.9339 	EXP 	level_text: autoDraw = True
26.0713 	DATA 	Keypress: up
26.1006 	EXP 	question_text: autoDraw = False
26.1006 	EXP 	level_text: autoDraw = False
26.1006 	EXP 	level_text: text = 1
26.1006 	EXP 	question_text: autoDraw = True
26.1006 	EXP 	level_text: autoDraw = True
26.2420 	DATA 	Keypress: up
26.2509 	EXP 	question_text: autoDraw = False
26.2509 	EXP 	level_text: autoDraw = False
26.2509 	EXP 	level_text: text = 1
26.2509 	EXP 	question_text: autoDraw = True
26.2509 	EXP 	level_text: autoDraw = True
29.3819 	DATA 	Keypress: down
29.3873 	EXP 	question_text: autoDraw = False
29.3873 	EXP 	level_text: autoDraw = False
29.3873 	EXP 	level_text: text = 0.15848931924611132
29.3873 	EXP 	question_text: autoDraw = True
29.3873 	EXP 	level_text: autoDraw = True
30.1600 	DATA 	Keypress: up
30.1882 	EXP 	question_text: autoDraw = False
30.1882 	EXP 	level_text: autoDraw = False
30.1882 	EXP 	level_text: text = 0.630957344480193
30.1882 	EXP 	question_text: autoDraw = True
30.1882 	EXP 	level_text: autoDraw = True
31.1802 	DATA 	Keypress: up
31.1887 	EXP 	question_text: autoDraw = False
31.1887 	EXP 	level_text: autoDraw = False
31.1887 	EXP 	level_text: text = 1
31.1887 	EXP 	question_text: autoDraw = True
31.1887 	EXP 	level_text: autoDraw = True
32.1831 	DATA 	Keypress: down
32.1900 	EXP 	question_text: autoDraw = False
32.1900 	EXP 	level_text: autoDraw = False
32.1900 	EXP 	level_text: text = 0.251188643150958
32.1900 	EXP 	question_text: autoDraw = True
32.1900 	EXP 	level_text: autoDraw = True
32.6847 	DATA 	Keypress: up
32.6905 	EXP 	question_text: autoDraw = False
32.6905 	EXP 	level_text: autoDraw = False
32.6905 	EXP 	level_text: text = 0.6309573444801932
32.6905 	EXP 	question_text: autoDraw = True
32.6905 	EXP 	level_text: autoDraw = True
33.6179 	DATA 	Keypress: down
33.6250 	EXP 	question_text: autoDraw = False
33.6250 	EXP 	level_text: autoDraw = False
33.6250 	EXP 	level_text: text = 0.251188643150958
33.6250 	EXP 	question_text: autoDraw = True
33.6250 	EXP 	level_text: autoDraw = True
34.0177 	DATA 	Keypress: up
34.0250 	EXP 	question_text: autoDraw = False
34.0250 	EXP 	level_text: autoDraw = False
34.0250 	EXP 	level_text: text = 0.31622776601683794
34.0250 	EXP 	question_text: autoDraw = True
34.0250 	EXP 	level_text: autoDraw = True
34.1854 	DATA 	Keypress: up
34.1920 	EXP 	question_text: autoDraw = False
34.1920 	EXP 	level_text: autoDraw = False
34.1920 	EXP 	level_text: text = 0.39810717055349726
34.1920 	EXP 	question_text: autoDraw = True
34.1920 	EXP 	level_text: autoDraw = True
34.8198 	DATA 	Keypress: up
34.8261 	EXP 	question_text: autoDraw = False
34.8261 	EXP 	level_text: autoDraw = False
34.8261 	EXP 	level_text: text = 0.5011872336272724
34.8261 	EXP 	question_text: autoDraw = True
34.8261 	EXP 	level_text: autoDraw = True
35.5880 	DATA 	Keypress: up
35.5932 	EXP 	question_text: autoDraw = False
35.5932 	EXP 	level_text: autoDraw = False
35.5932 	EXP 	level_text: text = 0.6309573444801934
35.5932 	EXP 	question_text: autoDraw = True
35.5932 	EXP 	level_text: autoDraw = True
36.2205 	DATA 	Keypress: up
36.2271 	EXP 	question_text: autoDraw = False
36.2271 	EXP 	level_text: autoDraw = False
36.2271 	EXP 	level_text: text = 0.7943282347242817
36.2271 	EXP 	question_text: autoDraw = True
36.2271 	EXP 	level_text: autoDraw = True
36.9692 	DATA 	Keypress: up
36.9781 	EXP 	question_text: autoDraw = False
36.9781 	EXP 	level_text: autoDraw = False
36.9781 	EXP 	level_text: text = 1
36.9781 	EXP 	question_text: autoDraw = True
36.9781 	EXP 	level_text: autoDraw = True
38.1558 	DATA 	Keypress: down
38.1626 	EXP 	question_text: autoDraw = False
38.1626 	EXP 	level_text: autoDraw = False
38.1626 	EXP 	level_text: text = 0.7943282347242815
38.1626 	EXP 	question_text: autoDraw = True
38.1626 	EXP 	level_text: autoDraw = True
39.6183 	DATA 	Keypress: up
39.6473 	EXP 	question_text: autoDraw = False
39.6473 	EXP 	level_text: autoDraw = False
39.6473 	EXP 	level_text: text = 0.8912509381337455
39.6473 	EXP 	question_text: autoDraw = True
39.6473 	EXP 	level_text: autoDraw = True
42.5377 	DATA 	Keypress: down
42.5671 	EXP 	question_text: autoDraw = False
42.5671 	EXP 	level_text: autoDraw = False
42.5671 	EXP 	level_text: text = 0.7943282347242815
42.5671 	EXP 	question_text: autoDraw = True
42.5671 	EXP 	level_text: autoDraw = True
43.2600 	DATA 	Keypress: up
43.2676 	EXP 	question_text: autoDraw = False
43.2676 	EXP 	level_text: autoDraw = False
43.2676 	EXP 	level_text: text = 0.8128305161640992
43.2676 	EXP 	question_text: autoDraw = True
43.2676 	EXP 	level_text: autoDraw = True
43.7950 	DATA 	Keypress: up
43.8013 	EXP 	question_text: autoDraw = False
43.8013 	EXP 	level_text: autoDraw = False
43.8013 	EXP 	level_text: text = 0.831763771102671
43.8013 	EXP 	question_text: autoDraw = True
43.8013 	EXP 	level_text: autoDraw = True
44.2464 	DATA 	Keypress: up
44.2521 	EXP 	question_text: autoDraw = False
44.2521 	EXP 	level_text: autoDraw = False
44.2521 	EXP 	level_text: text = 0.8511380382023764
44.2521 	EXP 	question_text: autoDraw = True
44.2521 	EXP 	level_text: autoDraw = True
47.0980 	DATA 	Keypress: down
47.1050 	EXP 	question_text: autoDraw = False
47.1050 	EXP 	level_text: autoDraw = False
47.1050 	EXP 	level_text: text = 0.831763771102671
47.1050 	EXP 	question_text: autoDraw = True
47.1050 	EXP 	level_text: autoDraw = True
47.7276 	DATA 	Keypress: down
47.7557 	EXP 	question_text: autoDraw = False
47.7557 	EXP 	level_text: autoDraw = False
47.7557 	EXP 	level_text: text = 0.8128305161640992
47.7557 	EXP 	question_text: autoDraw = True
47.7557 	EXP 	level_text: autoDraw = True
47.8827 	DATA 	Keypress: down
47.8890 	EXP 	question_text: autoDraw = False
47.8890 	EXP 	level_text: autoDraw = False
47.8890 	EXP 	level_text: text = 0.7943282347242815
47.8890 	EXP 	question_text: autoDraw = True
47.8890 	EXP 	level_text: autoDraw = True
48.0449 	DATA 	Keypress: down
48.0723 	EXP 	question_text: autoDraw = False
48.0723 	EXP 	level_text: autoDraw = False
48.0723 	EXP 	level_text: text = 0.7762471166286917
48.0723 	EXP 	question_text: autoDraw = True
48.0723 	EXP 	level_text: autoDraw = True
48.2165 	DATA 	Keypress: down
48.2226 	EXP 	question_text: autoDraw = False
48.2226 	EXP 	level_text: autoDraw = False
48.2226 	EXP 	level_text: text = 0.7585775750291838
48.2226 	EXP 	question_text: autoDraw = True
48.2226 	EXP 	level_text: autoDraw = True
48.3331 	DATA 	Keypress: down
48.3392 	EXP 	question_text: autoDraw = False
48.3392 	EXP 	level_text: autoDraw = False
